group,area,task,analysis,signal_source,scoring,mean_score,std_score,sem_score,n_sessions,mean_neurons,min_neurons,max_neurons
g1post,A/RL/AL,A_position,timepoint_position,glm_clean,balanced_accuracy,0.12318930041152264,0.018033553827767702,0.007362167521174218,6,104.16666666666667,53,175
g1post,A/RL/AL,V_position,timepoint_position,glm_clean,balanced_accuracy,0.15874485596707819,0.05289107998058824,0.021592692982862597,6,104.16666666666667,53,175
g1post,AM/PM,A_position,timepoint_position,glm_clean,balanced_accuracy,0.1182716049382716,,,1,65.0,65,65
g1post,AM/PM,V_position,timepoint_position,glm_clean,balanced_accuracy,0.11382716049382716,,,1,65.0,65,65
g1post,LM,A_position,timepoint_position,glm_clean,balanced_accuracy,0.11148148148148149,0.0015713484026367676,0.0011111111111111079,2,76.0,75,77
g1post,LM,V_position,timepoint_position,glm_clean,balanced_accuracy,0.18518518518518517,0.01990374643339911,0.014074074074074072,2,76.0,75,77
g1post,V1,A_position,timepoint_position,glm_clean,balanced_accuracy,0.13930041152263375,0.018571228140791294,0.007581672140292431,6,246.16666666666666,59,392
g1post,V1,V_position,timepoint_position,glm_clean,balanced_accuracy,0.23874485596707817,0.04712010530047567,0.0192367024353964,6,246.16666666666666,59,392
g2post,A/RL/AL,A_position,timepoint_position,glm_clean,balanced_accuracy,0.1444135802469136,0.013082294170717618,0.006541147085358809,4,102.25,69,135
g2post,A/RL/AL,V_position,timepoint_position,glm_clean,balanced_accuracy,0.22046296296296297,0.06154139370171247,0.030770696850856236,4,102.25,69,135
g2post,AM/PM,A_position,timepoint_position,glm_clean,balanced_accuracy,0.13864197530864197,0.01798320949684304,0.012716049382716033,2,188.0,181,195
g2post,AM/PM,V_position,timepoint_position,glm_clean,balanced_accuracy,0.18469135802469136,0.03963289859983858,0.028024691358024684,2,188.0,181,195
g2post,LM,A_position,timepoint_position,glm_clean,balanced_accuracy,0.14827160493827163,,,1,60.0,60,60
g2post,LM,V_position,timepoint_position,glm_clean,balanced_accuracy,0.27469135802469136,,,1,60.0,60,60
g2post,V1,A_position,timepoint_position,glm_clean,balanced_accuracy,0.16269547325102882,0.011681756957451467,0.0047690573074938986,6,307.8333333333333,77,520
g2post,V1,V_position,timepoint_position,glm_clean,balanced_accuracy,0.3012551440329218,0.026324556386823798,0.010746955142140382,6,307.8333333333333,77,520
