group,area,task,analysis,signal_source,scoring,time_index,time_s,stimulus_offset_s,mean_score,std_score,sem_score,n_sessions,mean_neurons,min_neurons,max_neurons
g1post,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,0,-0.9704341075240991,1.0351297146923724,0.5095679012345679,0.025751174721607428,0.010512873057532476,6,104.16666666666667,53,175
g1post,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,1,-0.9057385003558258,1.0351297146923724,0.5138888888888888,0.021934870547905248,0.008954873402728455,6,104.16666666666667,53,175
g1post,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,2,-0.8410428931875525,1.0351297146923724,0.5212962962962963,0.03176884101221287,0.012969575033254164,6,104.16666666666667,53,175
g1post,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,3,-0.7763472860192793,1.0351297146923724,0.5037037037037037,0.021436735005167074,0.008751510418986308,6,104.16666666666667,53,175
g1post,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,4,-0.711651678851006,1.0351297146923724,0.48395061728395056,0.036546129346176646,0.01491989482864783,6,104.16666666666667,53,175
g1post,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,5,-0.6469560716827327,1.0351297146923724,0.5092592592592593,0.027715980642769956,0.011315001715940354,6,104.16666666666667,53,175
g1post,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,6,-0.5822604645144595,1.0351297146923724,0.5012345679012346,0.02450236310841593,0.01000304785133563,6,104.16666666666667,53,175
g1post,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,7,-0.5175648573461862,1.0351297146923724,0.5061728395061729,0.04194624992707541,0.017124484824098476,6,104.16666666666667,53,175
g1post,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,8,-0.4528692501779129,1.0351297146923724,0.5185185185185185,0.03069831968163273,0.01253253653013972,6,104.16666666666667,53,175
g1post,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,9,-0.38817364300963964,1.0351297146923724,0.47716049382716047,0.03899749678341746,0.015920661394200175,6,104.16666666666667,53,175
g1post,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,10,-0.32347803584136636,1.0351297146923724,0.5037037037037037,0.025660011963983355,0.010475656017578477,6,104.16666666666667,53,175
g1post,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,11,-0.2587824286730931,1.0351297146923724,0.4959876543209876,0.011910541415035203,0.004862458171187161,6,104.16666666666667,53,175
g1post,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,12,-0.19408682150481982,1.0351297146923724,0.5083333333333333,0.025892836026128848,0.010570706042928226,6,104.16666666666667,53,175
g1post,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,13,-0.12939121433654655,1.0351297146923724,0.5175925925925926,0.029180625701374717,0.01191294055725209,6,104.16666666666667,53,175
g1post,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,14,-0.06469560716827327,1.0351297146923724,0.512962962962963,0.020852871496680362,0.008513149139782376,6,104.16666666666667,53,175
g1post,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,15,0.0,1.0351297146923724,0.49938271604938267,0.027384040756566454,0.011179487824861006,6,104.16666666666667,53,175
g1post,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,16,0.06469560716827327,1.0351297146923724,0.4996913580246914,0.028143680607129903,0.011489609495221757,6,104.16666666666667,53,175
g1post,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,17,0.12939121433654655,1.0351297146923724,0.5095679012345679,0.011736514408538012,0.00479141194329014,6,104.16666666666667,53,175
g1post,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,18,0.19408682150481982,1.0351297146923724,0.5262345679012346,0.027427836897103965,0.011197367524364359,6,104.16666666666667,53,175
g1post,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,19,0.2587824286730931,1.0351297146923724,0.5669753086419753,0.10161532581196588,0.04148428304766352,6,104.16666666666667,53,175
g1post,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,20,0.32347803584136636,1.0351297146923724,0.6043209876543211,0.13143017604464255,0.05365614468558988,6,104.16666666666667,53,175
g1post,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,21,0.38817364300963964,1.0351297146923724,0.6012345679012346,0.15138440549105514,0.0618024247446115,6,104.16666666666667,53,175
g1post,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,22,0.4528692501779129,1.0351297146923724,0.6,0.16138971228620622,0.0658870741392984,6,104.16666666666667,53,175
g1post,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,23,0.5175648573461862,1.0351297146923724,0.6351851851851852,0.15517148352842258,0.06334849287922001,6,104.16666666666667,53,175
