group,session_index,session_name,area,task,analysis,score,n_neurons,n_samples,n_classes,signal_source,scoring
g1post,4,Poli_20220317_010,V1,congruency,averaged_trial_response,0.5027777777777779,125,360,2,glm_clean,balanced_accuracy
g1post,4,Poli_20220317_010,V1,modality,averaged_trial_response,0.7972222222222223,125,720,3,glm_clean,balanced_accuracy
g1post,4,Poli_20220317_010,V1,trial_type,averaged_trial_response,0.5347222222222222,125,720,8,glm_clean,balanced_accuracy
g1post,4,Poli_20220317_010,AM/PM,visual_direction,averaged_trial_response,0.762962962962963,34,540,2,glm_clean,balanced_accuracy
g1post,4,Poli_20220317_010,AM/PM,auditory_direction,averaged_trial_response,0.5648148148148148,34,540,2,glm_clean,balanced_accuracy
g1post,4,Poli_20220317_010,AM/PM,congruency,averaged_trial_response,0.45,34,360,2,glm_clean,balanced_accuracy
g1post,4,Poli_20220317_010,AM/PM,modality,averaged_trial_response,0.5574074074074075,34,720,3,glm_clean,balanced_accuracy
g1post,4,Poli_20220317_010,AM/PM,trial_type,averaged_trial_response,0.2708333333333333,34,720,8,glm_clean,balanced_accuracy
g1post,4,Poli_20220317_010,A/RL/AL,visual_direction,averaged_trial_response,0.5462962962962964,10,540,2,glm_clean,balanced_accuracy
g1post,4,Poli_20220317_010,A/RL/AL,auditory_direction,averaged_trial_response,0.5703703703703703,10,540,2,glm_clean,balanced_accuracy
g1post,4,Poli_20220317_010,A/RL/AL,congruency,averaged_trial_response,0.45,10,360,2,glm_clean,balanced_accuracy
g1post,4,Poli_20220317_010,A/RL/AL,modality,averaged_trial_response,0.45740740740740743,10,720,3,glm_clean,balanced_accuracy
g1post,4,Poli_20220317_010,A/RL/AL,trial_type,averaged_trial_response,0.21388888888888888,10,720,8,glm_clean,balanced_accuracy
g1post,5,Theta_20220126_002,V1,visual_direction,averaged_trial_response,0.6740740740740742,59,540,2,glm_clean,balanced_accuracy
g1post,5,Theta_20220126_002,V1,auditory_direction,averaged_trial_response,0.5425925925925925,59,540,2,glm_clean,balanced_accuracy
g1post,5,Theta_20220126_002,V1,congruency,averaged_trial_response,0.5194444444444445,59,360,2,glm_clean,balanced_accuracy
g1post,5,Theta_20220126_002,V1,modality,averaged_trial_response,0.6944444444444444,59,720,3,glm_clean,balanced_accuracy
g1post,5,Theta_20220126_002,V1,trial_type,averaged_trial_response,0.30277777777777776,59,720,8,glm_clean,balanced_accuracy
g1post,5,Theta_20220126_002,A/RL/AL,visual_direction,averaged_trial_response,0.8666666666666668,77,540,2,glm_clean,balanced_accuracy
g1post,5,Theta_20220126_002,A/RL/AL,auditory_direction,averaged_trial_response,0.5296296296296296,77,540,2,glm_clean,balanced_accuracy
g1post,5,Theta_20220126_002,A/RL/AL,congruency,averaged_trial_response,0.4583333333333333,77,360,2,glm_clean,balanced_accuracy
g1post,5,Theta_20220126_002,A/RL/AL,modality,averaged_trial_response,0.7712962962962964,77,720,3,glm_clean,balanced_accuracy
g1post,5,Theta_20220126_002,A/RL/AL,trial_type,averaged_trial_response,0.41666666666666663,77,720,8,glm_clean,balanced_accuracy
g1post,5,Theta_20220126_002,LM,visual_direction,averaged_trial_response,0.8722222222222221,75,540,2,glm_clean,balanced_accuracy
g1post,5,Theta_20220126_002,LM,auditory_direction,averaged_trial_response,0.4851851851851851,75,540,2,glm_clean,balanced_accuracy
g1post,5,Theta_20220126_002,LM,congruency,averaged_trial_response,0.46944444444444444,75,360,2,glm_clean,balanced_accuracy
g1post,5,Theta_20220126_002,LM,modality,averaged_trial_response,0.7398148148148148,75,720,3,glm_clean,balanced_accuracy
g1post,5,Theta_20220126_002,LM,trial_type,averaged_trial_response,0.3736111111111111,75,720,8,glm_clean,balanced_accuracy
g1post,6,Zeta_000_002,V1,visual_direction,averaged_trial_response,0.95,240,540,2,glm_clean,balanced_accuracy
g1post,6,Zeta_000_002,V1,auditory_direction,averaged_trial_response,0.6148148148148148,240,540,2,glm_clean,balanced_accuracy
g1post,6,Zeta_000_002,V1,congruency,averaged_trial_response,0.43611111111111117,240,360,2,glm_clean,balanced_accuracy
g1post,6,Zeta_000_002,V1,modality,averaged_trial_response,0.8314814814814815,240,720,3,glm_clean,balanced_accuracy
g1post,6,Zeta_000_002,V1,trial_type,averaged_trial_response,0.5347222222222222,240,720,8,glm_clean,balanced_accuracy
g1post,6,Zeta_000_002,A/RL/AL,visual_direction,averaged_trial_response,0.6333333333333334,53,540,2,glm_clean,balanced_accuracy
g1post,6,Zeta_000_002,A/RL/AL,auditory_direction,averaged_trial_response,0.6092592592592593,53,540,2,glm_clean,balanced_accuracy
g1post,6,Zeta_000_002,A/RL/AL,congruency,averaged_trial_response,0.4805555555555555,53,360,2,glm_clean,balanced_accuracy
g1post,6,Zeta_000_002,A/RL/AL,modality,averaged_trial_response,0.7083333333333333,53,720,3,glm_clean,balanced_accuracy
g1post,6,Zeta_000_002,A/RL/AL,trial_type,averaged_trial_response,0.3375,53,720,8,glm_clean,balanced_accuracy
g1post,7,Zeta_20211229_009,V1,visual_direction,averaged_trial_response,0.9722222222222221,276,540,2,glm_clean,balanced_accuracy
g1post,7,Zeta_20211229_009,V1,auditory_direction,averaged_trial_response,0.5537037037037036,276,540,2,glm_clean,balanced_accuracy
g1post,7,Zeta_20211229_009,V1,congruency,averaged_trial_response,0.47777777777777786,276,360,2,glm_clean,balanced_accuracy
g1post,7,Zeta_20211229_009,V1,modality,averaged_trial_response,0.826851851851852,276,720,3,glm_clean,balanced_accuracy
g1post,7,Zeta_20211229_009,V1,trial_type,averaged_trial_response,0.5444444444444445,276,720,8,glm_clean,balanced_accuracy
g2post,0,Diez_20221111_004,V1,visual_direction,averaged_trial_response,0.6944444444444444,2,540,2,glm_clean,balanced_accuracy
g2post,0,Diez_20221111_004,V1,auditory_direction,averaged_trial_response,0.5648148148148149,2,540,2,glm_clean,balanced_accuracy
g2post,0,Diez_20221111_004,V1,congruency,averaged_trial_response,0.5222222222222223,2,360,2,glm_clean,balanced_accuracy
g2post,0,Diez_20221111_004,V1,modality,averaged_trial_response,0.487962962962963,2,720,3,glm_clean,balanced_accuracy
g2post,0,Diez_20221111_004,V1,trial_type,averaged_trial_response,0.25138888888888894,2,720,8,glm_clean,balanced_accuracy
g2post,0,Diez_20221111_004,AM/PM,visual_direction,averaged_trial_response,0.9907407407407407,181,540,2,glm_clean,balanced_accuracy
g2post,0,Diez_20221111_004,AM/PM,auditory_direction,averaged_trial_response,0.6907407407407408,181,540,2,glm_clean,balanced_accuracy
g2post,0,Diez_20221111_004,AM/PM,congruency,averaged_trial_response,0.45,181,360,2,glm_clean,balanced_accuracy
g2post,0,Diez_20221111_004,AM/PM,modality,averaged_trial_response,0.8444444444444444,181,720,3,glm_clean,balanced_accuracy
g2post,0,Diez_20221111_004,AM/PM,trial_type,averaged_trial_response,0.6027777777777779,181,720,8,glm_clean,balanced_accuracy
g2post,0,Diez_20221111_004,A/RL/AL,visual_direction,averaged_trial_response,0.9203703703703704,120,540,2,glm_clean,balanced_accuracy
g2post,0,Diez_20221111_004,A/RL/AL,auditory_direction,averaged_trial_response,0.7351851851851853,120,540,2,glm_clean,balanced_accuracy
g2post,0,Diez_20221111_004,A/RL/AL,congruency,averaged_trial_response,0.5361111111111111,120,360,2,glm_clean,balanced_accuracy
g2post,0,Diez_20221111_004,A/RL/AL,modality,averaged_trial_response,0.8981481481481481,120,720,3,glm_clean,balanced_accuracy
g2post,0,Diez_20221111_004,A/RL/AL,trial_type,averaged_trial_response,0.6305555555555555,120,720,8,glm_clean,balanced_accuracy
g2post,1,Diez_20221111_008,V1,visual_direction,averaged_trial_response,1.0,323,540,2,glm_clean,balanced_accuracy
g2post,1,Diez_20221111_008,V1,auditory_direction,averaged_trial_response,0.5592592592592592,323,540,2,glm_clean,balanced_accuracy
g2post,1,Diez_20221111_008,V1,congruency,averaged_trial_response,0.475,323,360,2,glm_clean,balanced_accuracy
