session_id,group_id,trial_type,EV_AV_a_full,EV_AV_a_eval,EV_AV_t_full,EV_AV_t_eval,EV_V_a_full,EV_V_a_eval,EV_V_t_full,EV_V_t_eval,EV_A_a_full,EV_A_a_eval,EV_A_t_full,EV_A_t_eval,EV_Motor_a_full,EV_Motor_a_eval,EV_Motor_t_full,EV_Motor_t_eval,EV_Model_a_full,EV_Model_a_eval,EV_Model_t_full,EV_Model_t_eval
4,g1pre,AV+,0.9409961089423722,0.987497329716293,0.3098868423154296,0.334073698828126,0.8562177487517513,0.9413412699403059,0.26085097171698457,0.3171649209645492,0.10843250289787476,0.06565007915873655,0.05557947050500722,0.020581166338605184,0.13822624190098975,0.04497006413748672,0.13285823178120815,0.14253601707865515,0.9770638926226485,0.9694796138923001,0.38124264599232205,0.4288880673559258
4,g1pre,AV-,0.9617418868961474,0.966644134727452,0.3260044028231518,0.36954321086510156,0.8903208033664086,0.8899651923339299,0.28729572149373706,0.3230963955488899,0.0919903857830372,0.09493690484511497,0.0554855994670832,0.0575236624145361,0.10367539791677238,0.017340188412668156,0.0966842308829482,0.026441434432366684,0.9922383337232172,0.9810399916727602,0.37713914469577914,0.3342939001465163
5,g1pre,V,0.9740965340549037,0.961439775712127,0.4033804195728583,0.38689296701120146,0.9740965340549037,0.961439775712127,0.4033804195728583,0.38689296701120146,0.0,0.0,0.0,0.0,-0.060795479930555896,-0.09791352936103959,0.022593413433946274,0.0015424685965875762,0.968416027262055,0.9461274590502609,0.4580423311307291,0.43059033769286337
5,g1pre,A,0.6743960999553394,0.6205986220767926,0.08733740408926416,0.09744291123501292,0.0,0.0,0.0,0.0,0.6743960999553394,0.6205986220767926,0.08733740408926416,0.09744291123501292,0.35331565812889987,0.3944583230301322,0.12897294241767698,0.03572528869429992,0.8591340410591282,0.8268546102971339,0.19849272087769942,0.12039514500571269
5,g1pre,AV+,0.992819408446685,0.9896944219492856,0.4717410172647739,0.4475881372247116,0.9598401703059057,0.9503820277965189,0.4509383595381591,0.42355562652339873,0.30287873017108236,0.27060992348197255,0.16301353366789118,0.12896214507806847,0.11818637943584454,0.09857845032188928,0.06920070150250224,0.11500778414281043,0.9836751421375545,0.9869012134422626,0.4869389699767155,0.5139677449968283
5,g1pre,AV-,0.985013273273459,0.9543046562632023,0.4068890177668798,0.4561774971957794,0.9422409279184626,0.8954374159926297,0.38981264457851905,0.4315948570654552,0.2974038462700883,0.22892070957186217,0.1443872967604518,0.1216924149901113,0.122138173118155,0.06442825553736431,0.06252672078744281,0.005183895121740556,0.9818200794042872,0.9491304435885232,0.40725375002576214,0.39153926189943944
6,g1pre,V,0.9850998516607957,0.9719969761795073,0.3462436990582348,0.31264799377697094,0.9850998516607957,0.9719969761795073,0.3462436990582348,0.31264799377697094,0.0,0.0,0.0,0.0,0.02459846934820964,-0.0012790999437828354,0.054368603631485324,-0.1534483717665771,0.9876218754593578,0.983298651819568,0.40029283296728446,0.13126641958288077
6,g1pre,A,0.5249512684457898,0.4435432192024584,0.014199759844645943,0.007402845490636523,0.0,0.0,0.0,0.0,0.5249512684457898,0.4435432192024584,0.014199759844645943,0.007402845490636523,0.4851496259272653,0.34787266665461636,0.12778912600405157,0.06601789232512378,0.8375057751397917,0.7361135273284632,0.14298572189865955,0.08331293554473373
6,g1pre,AV+,0.9890180649632334,0.9724743971272546,0.3450066791241799,0.26839061191866986,0.9839608083781037,0.9735979484732806,0.344763129245902,0.2741330829335671,0.07894123303470835,0.020735761751673243,0.009418838531448315,-0.006895495273490315,0.1208693412172741,0.10513697662198329,0.06571628409071384,0.057096925236087115,0.9818745037860248,0.9771505055263227,0.3798827985814084,0.29204335998659536
6,g1pre,AV-,0.9860681289032349,0.9666408396972321,0.3327179029105236,0.3067669330331365,0.9731681700438514,0.949876418991206,0.3291991378372452,0.30059685525456237,0.08286397458652361,0.037796778531870245,0.009821831180170437,0.0024682470701005155,0.11515739179257689,0.11957121831264672,0.05485988823566812,0.07381960090734818,0.9865725806212466,0.9765675600472649,0.36043949022378596,0.3462981203078678
7,g1pre,V,0.7893759677392171,0.6767144179851389,0.24927644414790306,0.23980086517822996,0.7893759677392171,0.6767144179851389,0.24927644414790306,0.23980086517822996,0.0,0.0,0.0,0.0,0.2129704151265004,0.2571794520859574,0.07968097544094477,0.07337070234013587,0.8812214042787723,0.8198096608056369,0.2986784436580934,0.2843151881153677
7,g1pre,A,0.7716168414015914,0.7466273872128637,0.2467057376927292,0.21660757486572213,0.0,0.0,0.0,0.0,0.7716168414015914,0.7466273872128637,0.2467057376927292,0.21660757486572213,0.23829748563638609,0.3114737307943052,0.14195437339898165,0.09847461061556517,0.8732895985171937,0.8833262068588466,0.33211516305196953,0.2520097269732303
7,g1pre,AV+,0.979729674315829,0.9790756181212241,0.3326891588757088,0.2940848595899671,0.7965348339703063,0.7420508615335626,0.2871543029499096,0.2469149069947182,0.7510352059431098,0.7273556619247654,0.2721236885867895,0.23414337737104096,0.21407969048780873,0.22608000867988398,0.122752504734844,0.11893353713158372,0.9538415964832528,0.972458779518246,0.37315794024170723,0.3522401657086448
7,g1pre,AV-,0.9764701794518168,0.9791955244255708,0.29931496849559913,0.324993422040054,0.8118475699688432,0.7668763392676423,0.2686960875271046,0.2640387172555698,0.7679035946582307,0.7415000196433125,0.25317194513695895,0.253911978283608,0.19927950717044873,0.24432463499938828,0.0868470169563289,0.10057089068261682,0.9468302281920015,0.9536463531005792,0.3170962301273541,0.3539295203852698
8,g1pre,V,0.5054504974495138,0.45718025180684985,0.05896689803079813,0.07834719926668876,0.5054504974495138,0.45718025180684985,0.05896689803079813,0.07834719926668876,0.0,0.0,0.0,0.0,0.1971421410564057,0.2761554279876117,0.10722578934065852,0.11647486057913203,0.6033915937972266,0.5679179926584524,0.16087676458622824,0.17978405318949298
8,g1pre,A,0.5982589155937096,0.5222513604114198,0.01918935342523631,-0.0031842919148448168,0.0,0.0,0.0,0.0,0.5982589155937096,0.5222513604114198,0.01918935342523631,-0.0031842919148448168,0.5335577620036807,0.4996487009805506,0.10934227707814292,0.04329059332979024,0.9012950524981382,0.5523692238233759,0.12197559470593877,0.03285791356405099
