,Group,Region,Predictor,FR
113,g1pre,V1,Adrive,-0.027334135102482122
114,g1pre,V1,Adrive,-0.14559914290430295
115,g1pre,V1,Adrive,-0.038586154191123184
116,g1pre,V1,Adrive,0.09116440959076391
117,g1pre,V1,Adrive,-0.003997445496431748
118,g1pre,V1,Adrive,-0.12598738751928196
119,g1pre,V1,Adrive,-0.006159436615771895
120,g1pre,V1,Adrive,-0.044564865917008964
121,g1pre,V1,Adrive,-0.021838998557348475
122,g1pre,V1,Adrive,-0.06185481631879459
123,g1pre,V1,Adrive,0.07743578675086069
124,g1pre,V1,Adrive,-0.012500843651071385
125,g1pre,V1,Adrive,-0.09760333438138541
126,g1pre,V1,Adrive,0.03542005596123901
127,g1pre,V1,Adrive,-0.009809154126734812
128,g1pre,V1,Adrive,-0.08882573488209249
129,g1pre,V1,Adrive,0.24694977041902694
130,g1pre,V1,Adrive,0.022896246166900985
131,g1pre,V1,Adrive,0.10317004323924574
132,g1pre,V1,Adrive,0.07661768888027844
133,g1pre,V1,Adrive,0.09835945539625258
134,g1pre,V1,Adrive,0.1720264040699698
135,g1pre,V1,Adrive,-0.05596963110120757
136,g1pre,V1,Adrive,0.16143318576564322
137,g1pre,V1,Adrive,-0.0757033083585498
138,g1pre,V1,Adrive,-0.013779376102080576
139,g1pre,V1,Adrive,-0.11046475636515003
140,g1pre,V1,Adrive,-0.207832724546531
141,g1pre,V1,Adrive,-0.07230643372139962
142,g1pre,V1,Adrive,0.025872120666473746
143,g1pre,V1,Adrive,-0.08079492906781918
144,g1pre,V1,Adrive,-0.003163073691428236
145,g1pre,V1,Adrive,-0.014428790271163564
146,g1pre,V1,Adrive,0.10484882329284063
147,g1pre,V1,Adrive,-0.06868716941613243
148,g1pre,V1,Adrive,0.014953793696816042
149,g1pre,V1,Adrive,-0.15508626267258072
150,g1pre,V1,Adrive,-0.14427801774085786
151,g1pre,V1,Adrive,-0.11341238557726141
152,g1pre,V1,Adrive,-0.04866226332498335
153,g1pre,V1,Adrive,0.10398906786211898
154,g1pre,V1,Adrive,-0.0565054672976026
155,g1pre,V1,Adrive,-0.05247132651136763
156,g1pre,V1,Adrive,0.06096534165117436
157,g1pre,V1,Adrive,0.11298298484047292
158,g1pre,V1,Adrive,-0.06055515550289334
159,g1pre,V1,Adrive,-0.05382908880798871
160,g1pre,V1,Adrive,0.003176037899489617
161,g1pre,V1,Adrive,0.03784747878951983
162,g1pre,V1,Adrive,0.07587438082010547
163,g1pre,V1,Adrive,-0.12129491712191873
164,g1pre,V1,Adrive,0.0036249091810516003
165,g1pre,V1,Adrive,0.05953541100073231
166,g1pre,V1,Adrive,-0.13330786433959177
167,g1pre,V1,Adrive,-0.16377536329966885
168,g1pre,V1,Adrive,-0.10920617981331275
169,g1pre,V1,Adrive,-0.11022097574502207
170,g1pre,V1,Adrive,-0.11528462028547064
171,g1pre,V1,Adrive,-0.08836683770881851
172,g1pre,V1,Adrive,0.03216100091581738
173,g1pre,V1,Adrive,-0.09553118593374417
174,g1pre,V1,Adrive,0.22429631464099767
175,g1pre,V1,Adrive,-0.02315653630447295
176,g1pre,V1,Adrive,0.029171856232988548
177,g1pre,V1,Adrive,0.10824742347495128
178,g1pre,V1,Adrive,0.12400264540286793
179,g1pre,V1,Adrive,0.06917275856623938
180,g1pre,V1,Adrive,0.04613642237911364
181,g1pre,V1,Adrive,-0.013512639367814631
182,g1pre,V1,Adrive,-0.13893816942763368
183,g1pre,V1,Adrive,0.1481757915082651
184,g1pre,V1,Adrive,0.07497722578918163
185,g1pre,V1,Adrive,0.11665183426475849
