session_id,group_id,trial_type,EV_AV_a_full,EV_AV_a_eval,EV_AV_t_full,EV_AV_t_eval,EV_V_a_full,EV_V_a_eval,EV_V_t_full,EV_V_t_eval,EV_A_a_full,EV_A_a_eval,EV_A_t_full,EV_A_t_eval,EV_Motor_a_full,EV_Motor_a_eval,EV_Motor_t_full,EV_Motor_t_eval,EV_Model_a_full,EV_Model_a_eval,EV_Model_t_full,EV_Model_t_eval
6,g1pre,A,0.46675754795437174,0.44131369608482196,0.019476956596816586,0.009539352188378092,0.0,0.0,0.0,0.0,0.46675754795437174,0.44131369608482196,0.019476956596816586,0.009539352188378092,0.45544276684725504,0.29133806863635214,0.10607166823624614,0.17160871522117827,0.8206227527219535,0.598406561095616,0.12722766482517134,0.17603973233051917
6,g1pre,AV+,0.9901786143974022,0.9681148562711477,0.4635321367538654,0.47041676114679687,0.9817719319517645,0.9589668840417159,0.45965794305717944,0.465603899198489,0.04366889311233446,0.037395408870581126,0.019811627808023702,0.01848021821433965,0.11697065722703381,0.1448510402618357,0.08857273717650538,0.12368285497865017,0.9914273874452135,0.9869472866024881,0.49916715564287273,0.5289183524120165
6,g1pre,AV-,0.9856860705863184,0.9601037794319826,0.4558789106430591,0.4980685650550962,0.9701666203649977,0.9345367458049794,0.44848951203234544,0.48730063236988697,0.04891080217896904,0.055061098100207206,0.02267196002283789,0.026048155515426163,0.11947891187615356,0.15020164329860375,0.08694871970329698,0.06871325643236159,0.9924343910620345,0.9760321386272242,0.4919990888276916,0.49181698454468636
7,g1pre,V,0.708855921225414,0.7063199788302588,0.2999735164367887,0.32734914760976974,0.708855921225414,0.7063199788302588,0.2999735164367887,0.32734914760976974,0.0,0.0,0.0,0.0,0.32386353368165965,0.3361266265811169,0.1556816284079129,0.2053858051711881,0.8699871951680447,0.8691756745403004,0.3891985827178337,0.45439900359536267
7,g1pre,A,0.7093080089947894,0.7238777257957882,0.3007029440271245,0.3268487107727489,0.0,0.0,0.0,0.0,0.7093080089947894,0.7238777257957882,0.3007029440271245,0.3268487107727489,0.3077724654345435,0.2860154089073157,0.1773897089307268,0.152445063810278,0.8619170402503342,0.8555676825366908,0.4071931773374191,0.40330662430788455
7,g1pre,AV+,0.9793549354253201,0.9824399938899515,0.45902361635776956,0.4872130228600309,0.7150118393130995,0.7106606834854312,0.3352067654913401,0.3520085220621769,0.6906178445452049,0.6854360605418621,0.3233890694019792,0.33986684709533077,0.26779508397384355,0.2613111682605882,0.16809557179010148,0.18338953245532197,0.9858130147204183,0.9886135076187331,0.5084043426285256,0.5489052827995553
7,g1pre,AV-,0.9845991323206268,0.982873605184067,0.4275255016186501,0.38679104901477734,0.7304410541031345,0.7541472865736808,0.3179688554716119,0.29577522522596367,0.7070379116533386,0.7298976211358094,0.30644696862534715,0.28743996884754774,0.2663679530084603,0.2998590438574965,0.14300646296694752,0.17111873124636112,0.9843185409625739,0.9585872720523752,0.45688880779402097,0.42848895946953014
8,g1pre,V,0.8888532088720297,0.5384997300821441,0.06753627669329387,0.04783107471362924,0.8888532088720297,0.5384997300821441,0.06753627669329387,0.04783107471362924,0.0,0.0,0.0,0.0,0.17572495671544874,0.07863526846269886,0.0891898986111953,0.08645194242431209,0.9221513168891267,0.5748584313260552,0.14773005281703555,0.13114179751230115
8,g1pre,A,0.5862443665459189,0.4501011503043256,0.04533724718176746,0.029926402688813192,0.0,0.0,0.0,0.0,0.5862443665459189,0.4501011503043256,0.04533724718176746,0.029926402688813192,0.6449714815001054,0.7296584338526322,0.1144508537404858,0.09165773307475444,0.9467848843303215,0.9027249587003053,0.13792116017695477,0.09811736143348126
8,g1pre,AV+,0.7578112393537262,0.6720346795557941,0.11185105057916189,0.12755033442565156,0.48880589590404055,0.5084249074718575,0.0780444149808801,0.1069798701739475,0.16502371153233708,0.08812956801886529,0.02088470904795192,0.009510501703881236,0.6583012152344392,0.6170544882820184,0.22993805844770232,0.2444276185570775,0.988137736905181,0.9483896764425863,0.28949024796933776,0.31710243205516975
8,g1pre,AV-,0.7517833721344824,0.7131200085626972,0.09944561899685489,0.09053104762412845,0.45669639560572495,0.5822613336116204,0.06783063231593056,0.07166113158105136,0.18414228589425352,0.030573531442039226,0.02043909921702658,0.0094424219622542,0.6754344671982022,0.6314148502576338,0.26064618612125146,0.16423904907033537,0.9870009155505164,0.888182507050583,0.3115613833753731,0.20786219794592975
0,g2pre,V,0.9768409275567184,0.9708269201507916,0.47512532711697353,0.4320552439504578,0.9768409275567184,0.9708269201507916,0.47512532711697353,0.4320552439504578,0.0,0.0,0.0,0.0,-0.09254639096943063,-0.009917857289693188,0.1055174283028425,0.19494495771267606,0.9724609411211039,0.9745469286301403,0.6209942048904166,0.6284057447615217
0,g2pre,A,0.6464946895066006,0.6289085209463132,0.15003520490625855,0.11652277073275918,0.0,0.0,0.0,0.0,0.6464946895066006,0.6289085209463132,0.15003520490625855,0.11652277073275918,0.5507718978200659,0.37524967721203883,0.37394938474783757,0.3508316405727252,0.9305906879312229,0.8500326027586899,0.4667447555964759,0.4434646011363397
0,g2pre,AV+,0.9826954038721357,0.9792118089593227,0.5693061205404363,0.5268844314187622,0.9002829580554357,0.8904561758165594,0.5215083979605302,0.47974923020181415,0.3316157816813735,0.3447656487061088,0.1889876168443997,0.180939857950438,0.238388619042197,0.1931339462065954,0.2769448592822433,0.2616133948223245,0.9908811608496768,0.9895504861878884,0.7151621997717209,0.6914842958031673
0,g2pre,AV-,0.9802563912264287,0.9759554908238335,0.5722510832429887,0.5634961257869042,0.9013801917693114,0.8842743011569791,0.5269786949863453,0.5111186116076454,0.32713861171443936,0.3346373297130776,0.1902750025646619,0.19596320419072655,0.21884824438863304,0.1850288328652524,0.26544165438458245,0.25161042053790894,0.9910776613697587,0.9888137290902396,0.7194475649144612,0.7192504055353668
1,g2pre,V,0.9735450200457735,0.9693190898733425,0.4212066231540984,0.43638329908958395,0.9735450200457735,0.9693190898733425,0.4212066231540984,0.43638329908958395,0.0,0.0,0.0,0.0,-0.008866871080274397,-0.011796320584989362,0.12931936907437647,0.06609860628919728,0.9806234140882554,0.9706553798253355,0.5623399876496988,0.5038300697958014
