group,session_index,session_name,area,task,analysis,time_index,time_s,stimulus_offset_s,score,std_score,n_neurons,n_samples,n_classes,signal_source,scoring
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,27,0.7763472860192793,1.0351297146923724,0.6555555555555556,0.03175264481385601,96,540,2,glm_clean,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,28,0.8410428931875525,1.0351297146923724,0.6166666666666667,0.01994505484123889,96,540,2,glm_clean,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,29,0.9057385003558258,1.0351297146923724,0.5518518518518519,0.03076527356636325,96,540,2,glm_clean,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,30,0.9704341075240991,1.0351297146923724,0.5888888888888889,0.04814814814814815,96,540,2,glm_clean,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,31,1.0351297146923724,1.0351297146923724,0.6314814814814815,0.02511974067824174,96,540,2,glm_clean,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,32,1.0998253218606455,1.0351297146923724,0.6092592592592592,0.05474720555220179,96,540,2,glm_clean,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,33,1.164520929028919,1.0351297146923724,0.6222222222222222,0.022222222222222185,96,540,2,glm_clean,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,34,1.229216536197192,1.0351297146923724,0.6537037037037037,0.02312962221629034,96,540,2,glm_clean,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,35,1.2939121433654655,1.0351297146923724,0.6222222222222222,0.03228814032252352,96,540,2,glm_clean,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,36,1.3586077505337386,1.0351297146923724,0.6611111111111111,0.04287347001033417,96,540,2,glm_clean,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,37,1.423303357702012,1.0351297146923724,0.5925925925925926,0.03749714209503072,96,540,2,glm_clean,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,38,1.4879989648702852,1.0351297146923724,0.5740740740740742,0.0341464609529366,96,540,2,glm_clean,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,39,1.5526945720385585,1.0351297146923724,0.548148148148148,0.060688776326570146,96,540,2,glm_clean,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,40,1.6173901792068317,1.0351297146923724,0.5740740740740741,0.023424278964210215,96,540,2,glm_clean,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,41,1.682085786375105,1.0351297146923724,0.5518518518518518,0.03444643562544124,96,540,2,glm_clean,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,42,1.7467813935433782,1.0351297146923724,0.5,0.0523782800878924,96,540,2,glm_clean,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,43,1.8114770007116516,1.0351297146923724,0.5777777777777777,0.027839437737727613,96,540,2,glm_clean,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,44,1.8761726078799248,1.0351297146923724,0.5240740740740741,0.0386678018848539,96,540,2,glm_clean,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,45,1.9408682150481982,1.0351297146923724,0.512962962962963,0.02783943773772758,96,540,2,glm_clean,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,46,2.0055638222164713,1.0351297146923724,0.5055555555555555,0.034446435625441287,96,540,2,glm_clean,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,auditory_direction,time_resolved_trial_response,0,-0.9704341075240991,1.0351297146923724,0.5,0.048290388186686295,96,540,2,glm_clean,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,auditory_direction,time_resolved_trial_response,1,-0.9057385003558258,1.0351297146923724,0.47037037037037044,0.025119740678241773,96,540,2,glm_clean,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,auditory_direction,time_resolved_trial_response,2,-0.8410428931875525,1.0351297146923724,0.44074074074074066,0.020786985482077438,96,540,2,glm_clean,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,auditory_direction,time_resolved_trial_response,3,-0.7763472860192793,1.0351297146923724,0.5037037037037038,0.050579630680546904,96,540,2,glm_clean,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,auditory_direction,time_resolved_trial_response,4,-0.711651678851006,1.0351297146923724,0.4962962962962963,0.02525589203145529,96,540,2,glm_clean,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,auditory_direction,time_resolved_trial_response,5,-0.6469560716827327,1.0351297146923724,0.5185185185185185,0.017568209223157646,96,540,2,glm_clean,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,auditory_direction,time_resolved_trial_response,6,-0.5822604645144595,1.0351297146923724,0.49444444444444446,0.03343605571345886,96,540,2,glm_clean,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,auditory_direction,time_resolved_trial_response,7,-0.5175648573461862,1.0351297146923724,0.5092592592592593,0.040572041296678976,96,540,2,glm_clean,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,auditory_direction,time_resolved_trial_response,8,-0.4528692501779129,1.0351297146923724,0.5037037037037037,0.052574331728068115,96,540,2,glm_clean,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,auditory_direction,time_resolved_trial_response,9,-0.38817364300963964,1.0351297146923724,0.5111111111111111,0.029513661945387445,96,540,2,glm_clean,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,auditory_direction,time_resolved_trial_response,10,-0.32347803584136636,1.0351297146923724,0.4481481481481481,0.013857990321384971,96,540,2,glm_clean,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,auditory_direction,time_resolved_trial_response,11,-0.2587824286730931,1.0351297146923724,0.5074074074074074,0.03945791806048614,96,540,2,glm_clean,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,auditory_direction,time_resolved_trial_response,12,-0.19408682150481982,1.0351297146923724,0.49444444444444446,0.011111111111111108,96,540,2,glm_clean,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,auditory_direction,time_resolved_trial_response,13,-0.12939121433654655,1.0351297146923724,0.4796296296296296,0.027090257108014444,96,540,2,glm_clean,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,auditory_direction,time_resolved_trial_response,14,-0.06469560716827327,1.0351297146923724,0.5074074074074073,0.035813110381136506,96,540,2,glm_clean,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,auditory_direction,time_resolved_trial_response,15,0.0,1.0351297146923724,0.4962962962962963,0.04885520725286265,96,540,2,glm_clean,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,auditory_direction,time_resolved_trial_response,16,0.06469560716827327,1.0351297146923724,0.5611111111111111,0.021596118129056662,96,540,2,glm_clean,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,auditory_direction,time_resolved_trial_response,17,0.12939121433654655,1.0351297146923724,0.538888888888889,0.03581311038113652,96,540,2,glm_clean,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,auditory_direction,time_resolved_trial_response,18,0.19408682150481982,1.0351297146923724,0.5314814814814814,0.026579074248902462,96,540,2,glm_clean,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,auditory_direction,time_resolved_trial_response,19,0.2587824286730931,1.0351297146923724,0.587037037037037,0.05322262171555523,96,540,2,glm_clean,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,auditory_direction,time_resolved_trial_response,20,0.32347803584136636,1.0351297146923724,0.6370370370370371,0.02371527495345502,96,540,2,glm_clean,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,auditory_direction,time_resolved_trial_response,21,0.38817364300963964,1.0351297146923724,0.6370370370370371,0.028327886186626596,96,540,2,glm_clean,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,auditory_direction,time_resolved_trial_response,22,0.4528692501779129,1.0351297146923724,0.6222222222222222,0.02511974067824172,96,540,2,glm_clean,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,auditory_direction,time_resolved_trial_response,23,0.5175648573461862,1.0351297146923724,0.6703703703703703,0.025925925925925894,96,540,2,glm_clean,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,auditory_direction,time_resolved_trial_response,24,0.5822604645144595,1.0351297146923724,0.6703703703703704,0.026579074248902438,96,540,2,glm_clean,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,auditory_direction,time_resolved_trial_response,25,0.6469560716827327,1.0351297146923724,0.6592592592592593,0.06505247433426035,96,540,2,glm_clean,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,auditory_direction,time_resolved_trial_response,26,0.711651678851006,1.0351297146923724,0.6666666666666667,0.015493704195075475,96,540,2,glm_clean,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,auditory_direction,time_resolved_trial_response,27,0.7763472860192793,1.0351297146923724,0.6203703703703703,0.07680163464195452,96,540,2,glm_clean,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,auditory_direction,time_resolved_trial_response,28,0.8410428931875525,1.0351297146923724,0.6148148148148149,0.027839437737727606,96,540,2,glm_clean,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,auditory_direction,time_resolved_trial_response,29,0.9057385003558258,1.0351297146923724,0.6111111111111113,0.011712139482105127,96,540,2,glm_clean,balanced_accuracy
