group,session_index,session_name,area,task,analysis,score,n_neurons,n_samples,n_classes,signal_source,scoring
g1pre,4,Kappa_20221102_002,A/RL/AL,auditory_direction,averaged_trial_response,0.5388888888888889,105,540,2,glm_clean,balanced_accuracy
g1pre,4,Kappa_20221102_002,A/RL/AL,congruency,averaged_trial_response,0.5249999999999999,105,360,2,glm_clean,balanced_accuracy
g1pre,4,Kappa_20221102_002,A/RL/AL,modality,averaged_trial_response,0.7842592592592592,105,720,3,glm_clean,balanced_accuracy
g1pre,4,Kappa_20221102_002,A/RL/AL,trial_type,averaged_trial_response,0.42777777777777776,105,720,8,glm_clean,balanced_accuracy
g1pre,5,Poli_20220217_008,V1,visual_direction,averaged_trial_response,0.9592592592592591,146,540,2,glm_clean,balanced_accuracy
g1pre,5,Poli_20220217_008,V1,auditory_direction,averaged_trial_response,0.587037037037037,146,540,2,glm_clean,balanced_accuracy
g1pre,5,Poli_20220217_008,V1,congruency,averaged_trial_response,0.5027777777777778,146,360,2,glm_clean,balanced_accuracy
g1pre,5,Poli_20220217_008,V1,modality,averaged_trial_response,0.7972222222222223,146,720,3,glm_clean,balanced_accuracy
g1pre,5,Poli_20220217_008,V1,trial_type,averaged_trial_response,0.5013888888888889,146,720,8,glm_clean,balanced_accuracy
g1pre,5,Poli_20220217_008,AM/PM,visual_direction,averaged_trial_response,0.7925925925925926,11,540,2,glm_clean,balanced_accuracy
g1pre,5,Poli_20220217_008,AM/PM,auditory_direction,averaged_trial_response,0.5055555555555555,11,540,2,glm_clean,balanced_accuracy
g1pre,5,Poli_20220217_008,AM/PM,congruency,averaged_trial_response,0.49444444444444446,11,360,2,glm_clean,balanced_accuracy
g1pre,5,Poli_20220217_008,AM/PM,modality,averaged_trial_response,0.6111111111111112,11,720,3,glm_clean,balanced_accuracy
g1pre,5,Poli_20220217_008,AM/PM,trial_type,averaged_trial_response,0.29444444444444445,11,720,8,glm_clean,balanced_accuracy
g1pre,5,Poli_20220217_008,A/RL/AL,visual_direction,averaged_trial_response,0.5296296296296296,3,540,2,glm_clean,balanced_accuracy
g1pre,5,Poli_20220217_008,A/RL/AL,auditory_direction,averaged_trial_response,0.5166666666666667,3,540,2,glm_clean,balanced_accuracy
g1pre,5,Poli_20220217_008,A/RL/AL,congruency,averaged_trial_response,0.5416666666666667,3,360,2,glm_clean,balanced_accuracy
g1pre,5,Poli_20220217_008,A/RL/AL,modality,averaged_trial_response,0.387037037037037,3,720,3,glm_clean,balanced_accuracy
g1pre,5,Poli_20220217_008,A/RL/AL,trial_type,averaged_trial_response,0.14027777777777778,3,720,8,glm_clean,balanced_accuracy
g1pre,6,Theta_20220102_002,V1,visual_direction,averaged_trial_response,0.7222222222222223,26,540,2,glm_clean,balanced_accuracy
g1pre,6,Theta_20220102_002,V1,auditory_direction,averaged_trial_response,0.5074074074074073,26,540,2,glm_clean,balanced_accuracy
g1pre,6,Theta_20220102_002,V1,congruency,averaged_trial_response,0.4833333333333333,26,360,2,glm_clean,balanced_accuracy
g1pre,6,Theta_20220102_002,V1,modality,averaged_trial_response,0.6324074074074073,26,720,3,glm_clean,balanced_accuracy
g1pre,6,Theta_20220102_002,V1,trial_type,averaged_trial_response,0.32222222222222224,26,720,8,glm_clean,balanced_accuracy
g1pre,6,Theta_20220102_002,A/RL/AL,visual_direction,averaged_trial_response,0.9962962962962962,62,540,2,glm_clean,balanced_accuracy
g1pre,6,Theta_20220102_002,A/RL/AL,auditory_direction,averaged_trial_response,0.5666666666666667,62,540,2,glm_clean,balanced_accuracy
g1pre,6,Theta_20220102_002,A/RL/AL,congruency,averaged_trial_response,0.4722222222222222,62,360,2,glm_clean,balanced_accuracy
g1pre,6,Theta_20220102_002,A/RL/AL,modality,averaged_trial_response,0.6685185185185185,62,720,3,glm_clean,balanced_accuracy
g1pre,6,Theta_20220102_002,A/RL/AL,trial_type,averaged_trial_response,0.4027777777777778,62,720,8,glm_clean,balanced_accuracy
g1pre,6,Theta_20220102_002,LM,visual_direction,averaged_trial_response,0.8537037037037036,64,540,2,glm_clean,balanced_accuracy
g1pre,6,Theta_20220102_002,LM,auditory_direction,averaged_trial_response,0.5166666666666666,64,540,2,glm_clean,balanced_accuracy
g1pre,6,Theta_20220102_002,LM,congruency,averaged_trial_response,0.5305555555555556,64,360,2,glm_clean,balanced_accuracy
g1pre,6,Theta_20220102_002,LM,modality,averaged_trial_response,0.6796296296296296,64,720,3,glm_clean,balanced_accuracy
g1pre,6,Theta_20220102_002,LM,trial_type,averaged_trial_response,0.34305555555555556,64,720,8,glm_clean,balanced_accuracy
g1pre,7,Zeta_20211202_002,V1,visual_direction,averaged_trial_response,0.5925925925925928,185,540,2,glm_clean,balanced_accuracy
g1pre,7,Zeta_20211202_002,V1,auditory_direction,averaged_trial_response,0.49259259259259264,185,540,2,glm_clean,balanced_accuracy
g1pre,7,Zeta_20211202_002,V1,congruency,averaged_trial_response,0.43611111111111106,185,360,2,glm_clean,balanced_accuracy
g1pre,7,Zeta_20211202_002,V1,modality,averaged_trial_response,0.36759259259259264,185,720,3,glm_clean,balanced_accuracy
g1pre,7,Zeta_20211202_002,V1,trial_type,averaged_trial_response,0.14305555555555555,185,720,8,glm_clean,balanced_accuracy
g1pre,7,Zeta_20211202_002,A/RL/AL,visual_direction,averaged_trial_response,0.5148148148148148,50,540,2,glm_clean,balanced_accuracy
g1pre,7,Zeta_20211202_002,A/RL/AL,auditory_direction,averaged_trial_response,0.475925925925926,50,540,2,glm_clean,balanced_accuracy
g1pre,7,Zeta_20211202_002,A/RL/AL,congruency,averaged_trial_response,0.5222222222222223,50,360,2,glm_clean,balanced_accuracy
g1pre,7,Zeta_20211202_002,A/RL/AL,modality,averaged_trial_response,0.37129629629629624,50,720,3,glm_clean,balanced_accuracy
g1pre,7,Zeta_20211202_002,A/RL/AL,trial_type,averaged_trial_response,0.1513888888888889,50,720,8,glm_clean,balanced_accuracy
g1pre,8,Zeta_20211202_011,V1,visual_direction,averaged_trial_response,0.9462962962962962,397,540,2,glm_clean,balanced_accuracy
g1pre,8,Zeta_20211202_011,V1,auditory_direction,averaged_trial_response,0.5925925925925926,397,540,2,glm_clean,balanced_accuracy
g1pre,8,Zeta_20211202_011,V1,congruency,averaged_trial_response,0.525,397,360,2,glm_clean,balanced_accuracy
g1pre,8,Zeta_20211202_011,V1,modality,averaged_trial_response,0.7203703703703703,397,720,3,glm_clean,balanced_accuracy
g1pre,8,Zeta_20211202_011,V1,trial_type,averaged_trial_response,0.4736111111111111,397,720,8,glm_clean,balanced_accuracy
g2pre,0,Dieciceis_20230725_002,AM/PM,visual_direction,averaged_trial_response,0.9944444444444445,185,540,2,glm_clean,balanced_accuracy
g2pre,0,Dieciceis_20230725_002,AM/PM,auditory_direction,averaged_trial_response,0.6759259259259259,185,540,2,glm_clean,balanced_accuracy
g2pre,0,Dieciceis_20230725_002,AM/PM,congruency,averaged_trial_response,0.4666666666666666,185,360,2,glm_clean,balanced_accuracy
g2pre,0,Dieciceis_20230725_002,AM/PM,modality,averaged_trial_response,0.912037037037037,185,720,3,glm_clean,balanced_accuracy
g2pre,0,Dieciceis_20230725_002,AM/PM,trial_type,averaged_trial_response,0.6638888888888889,185,720,8,glm_clean,balanced_accuracy
g2pre,1,Diez_20220908_008,AM/PM,visual_direction,averaged_trial_response,0.9851851851851852,159,540,2,glm_clean,balanced_accuracy
g2pre,1,Diez_20220908_008,AM/PM,auditory_direction,averaged_trial_response,0.6166666666666666,159,540,2,glm_clean,balanced_accuracy
g2pre,1,Diez_20220908_008,AM/PM,congruency,averaged_trial_response,0.5444444444444445,159,360,2,glm_clean,balanced_accuracy
g2pre,1,Diez_20220908_008,AM/PM,modality,averaged_trial_response,0.8379629629629628,159,720,3,glm_clean,balanced_accuracy
g2pre,1,Diez_20220908_008,AM/PM,trial_type,averaged_trial_response,0.6069444444444445,159,720,8,glm_clean,balanced_accuracy
g2pre,1,Diez_20220908_008,A/RL/AL,visual_direction,averaged_trial_response,0.8907407407407406,113,540,2,glm_clean,balanced_accuracy
g2pre,1,Diez_20220908_008,A/RL/AL,auditory_direction,averaged_trial_response,0.7166666666666667,113,540,2,glm_clean,balanced_accuracy
g2pre,1,Diez_20220908_008,A/RL/AL,congruency,averaged_trial_response,0.5333333333333334,113,360,2,glm_clean,balanced_accuracy
g2pre,1,Diez_20220908_008,A/RL/AL,modality,averaged_trial_response,0.8342592592592594,113,720,3,glm_clean,balanced_accuracy
g2pre,1,Diez_20220908_008,A/RL/AL,trial_type,averaged_trial_response,0.6180555555555556,113,720,8,glm_clean,balanced_accuracy
g2pre,2,Duo_000_002,V1,visual_direction,averaged_trial_response,0.9592592592592591,177,540,2,glm_clean,balanced_accuracy
g2pre,2,Duo_000_002,V1,auditory_direction,averaged_trial_response,0.4962962962962963,177,540,2,glm_clean,balanced_accuracy
g2pre,2,Duo_000_002,V1,congruency,averaged_trial_response,0.4111111111111111,177,360,2,glm_clean,balanced_accuracy
g2pre,2,Duo_000_002,V1,modality,averaged_trial_response,0.7601851851851852,177,720,3,glm_clean,balanced_accuracy
g2pre,2,Duo_000_002,V1,trial_type,averaged_trial_response,0.41527777777777775,177,720,8,glm_clean,balanced_accuracy
g2pre,2,Duo_000_002,A/RL/AL,visual_direction,averaged_trial_response,0.9851851851851852,71,540,2,glm_clean,balanced_accuracy
g2pre,2,Duo_000_002,A/RL/AL,auditory_direction,averaged_trial_response,0.5314814814814814,71,540,2,glm_clean,balanced_accuracy
g2pre,2,Duo_000_002,A/RL/AL,congruency,averaged_trial_response,0.4416666666666666,71,360,2,glm_clean,balanced_accuracy
g2pre,2,Duo_000_002,A/RL/AL,modality,averaged_trial_response,0.7287037037037037,71,720,3,glm_clean,balanced_accuracy
g2pre,2,Duo_000_002,A/RL/AL,trial_type,averaged_trial_response,0.39305555555555555,71,720,8,glm_clean,balanced_accuracy
g2pre,3,Nueve_20220804_001,V1,visual_direction,averaged_trial_response,0.9962962962962962,331,540,2,glm_clean,balanced_accuracy
g2pre,3,Nueve_20220804_001,V1,auditory_direction,averaged_trial_response,0.5296296296296296,331,540,2,glm_clean,balanced_accuracy
g2pre,3,Nueve_20220804_001,V1,congruency,averaged_trial_response,0.5111111111111113,331,360,2,glm_clean,balanced_accuracy
g2pre,3,Nueve_20220804_001,V1,modality,averaged_trial_response,0.8314814814814815,331,720,3,glm_clean,balanced_accuracy
g2pre,3,Nueve_20220804_001,V1,trial_type,averaged_trial_response,0.5444444444444445,331,720,8,glm_clean,balanced_accuracy
g2pre,4,Ocho_20220804_006,V1,visual_direction,averaged_trial_response,0.8259259259259257,60,540,2,glm_clean,balanced_accuracy
g2pre,4,Ocho_20220804_006,V1,auditory_direction,averaged_trial_response,0.5537037037037037,60,540,2,glm_clean,balanced_accuracy
g2pre,4,Ocho_20220804_006,V1,congruency,averaged_trial_response,0.4805555555555555,60,360,2,glm_clean,balanced_accuracy
g2pre,4,Ocho_20220804_006,V1,modality,averaged_trial_response,0.7185185185185186,60,720,3,glm_clean,balanced_accuracy
g2pre,4,Ocho_20220804_006,V1,trial_type,averaged_trial_response,0.4041666666666667,60,720,8,glm_clean,balanced_accuracy
