group_base,area,pre,post,delta_post_minus_pre
g1,V1,229.0,246.16666666666666,17.166666666666657
g1,AM/PM,39.0,34.333333333333336,-4.666666666666664
g1,A/RL/AL,81.875,90.71428571428571,8.839285714285708
g1,LM,54.5,76.0,21.5
g2,V1,204.5,232.875,28.375
g2,AM/PM,133.75,127.33333333333333,-6.416666666666671
g2,A/RL/AL,85.71428571428571,85.4,-0.3142857142857025
g2,LM,36.5,22.333333333333332,-14.166666666666668
