area,task,time_index,time_s,stimulus_offset_s,pre,post,delta_group_difference_post_minus_pre
V1,auditory_direction,0,-0.9704341075240992,1.0351297146923724,-0.009365079365079299,0.0018518518518518823,0.01121693121693118
V1,auditory_direction,1,-0.9057385003558258,1.0351297146923724,0.023015873015872934,-0.010802469135802517,-0.03381834215167545
V1,auditory_direction,2,-0.8410428931875525,1.0351297146923724,0.012328042328042299,-0.006790123456790087,-0.019118165784832386
V1,auditory_direction,3,-0.7763472860192793,1.0351297146923724,0.025079365079365035,-0.01944444444444443,-0.044523809523809466
V1,auditory_direction,4,-0.711651678851006,1.0351297146923724,-0.0016931216931216353,-0.016049382716049443,-0.014356261022927808
V1,auditory_direction,5,-0.6469560716827327,1.0351297146923724,-0.012698412698412875,0.00462962962962965,0.017328042328042526
V1,auditory_direction,6,-0.5822604645144595,1.0351297146923724,-0.02169312169312171,0.0030864197530864335,0.024779541446208142
V1,auditory_direction,7,-0.5175648573461862,1.0351297146923724,-0.0028571428571428914,-0.0070987654320987525,-0.004241622574955861
V1,auditory_direction,8,-0.4528692501779129,1.0351297146923724,-0.004761904761904745,-0.007407407407407418,-0.002645502645502673
V1,auditory_direction,9,-0.3881736430096396,1.0351297146923724,-0.008994708994709055,-0.004320987654320985,0.004673721340388071
V1,auditory_direction,10,-0.3234780358413663,1.0351297146923724,-0.005608465608465507,-0.04382716049382729,-0.03821869488536178
V1,auditory_direction,11,-0.2587824286730931,1.0351297146923724,0.006613756613756627,-0.0006172839506173311,-0.007231040564373958
V1,auditory_direction,12,-0.1940868215048198,1.0351297146923724,0.013862433862433798,0.016358024691357997,0.002495590828924199
V1,auditory_direction,13,-0.1293912143365465,1.0351297146923724,-0.0015343915343914993,0.012037037037037068,0.013571428571428568
V1,auditory_direction,14,-0.0646956071682732,1.0351297146923724,-0.006507936507936629,-0.0021604938271604923,0.004347442680776137
V1,auditory_direction,15,0.0,1.0351297146923724,0.0005291005291006012,-0.0012345679012346067,-0.001763668430335208
V1,auditory_direction,16,0.0646956071682732,1.0351297146923724,-0.019894179894179964,0.00030864197530861004,0.020202821869488574
V1,auditory_direction,17,0.1293912143365465,1.0351297146923724,0.004920634920634992,0.007098765432098864,0.0021781305114638716
V1,auditory_direction,18,0.1940868215048198,1.0351297146923724,0.015608465608465627,0.02654320987654324,0.010934744268077612
V1,auditory_direction,19,0.2587824286730931,1.0351297146923724,0.028730158730158772,-0.00864197530864197,-0.03737213403880074
V1,auditory_direction,20,0.3234780358413663,1.0351297146923724,0.0056613756613757005,-0.007716049382716195,-0.013377425044091895
V1,auditory_direction,21,0.3881736430096396,1.0351297146923724,0.025343915343915335,-0.010493827160493852,-0.03583774250440919
V1,auditory_direction,22,0.4528692501779129,1.0351297146923724,-0.016243386243386393,-0.003395061728394988,0.012848324514991405
V1,auditory_direction,23,0.5175648573461862,1.0351297146923724,0.010052910052910091,-0.03395061728395066,-0.04400352733686075
V1,auditory_direction,24,0.5822604645144595,1.0351297146923724,0.011534391534391397,-0.02839506172839512,-0.03992945326278652
V1,auditory_direction,25,0.6469560716827327,1.0351297146923724,0.01566137566137571,-0.016358024691357942,-0.03201940035273365
V1,auditory_direction,26,0.711651678851006,1.0351297146923724,0.0006878306878306262,-0.029320987654321007,-0.030008818342151633
V1,auditory_direction,27,0.7763472860192793,1.0351297146923724,0.009470899470899519,0.015740740740740722,0.006269841269841203
V1,auditory_direction,28,0.8410428931875525,1.0351297146923724,0.04402116402116407,-0.022222222222222254,-0.06624338624338633
V1,auditory_direction,29,0.9057385003558258,1.0351297146923724,-0.0336507936507936,-0.03117283950617289,0.0024779541446207087
V1,auditory_direction,30,0.9704341075240992,1.0351297146923724,-0.0012169312169312274,-0.022222222222222254,-0.021005291005291027
V1,auditory_direction,31,1.0351297146923724,1.0351297146923724,-0.003915343915343872,-0.02314814814814814,-0.019232804232804268
V1,auditory_direction,32,1.0998253218606455,1.0351297146923724,0.0146560846560847,-0.009567901234567744,-0.024223985890652444
V1,auditory_direction,33,1.164520929028919,1.0351297146923724,0.00931216931216916,-0.02839506172839501,-0.03770723104056417
V1,auditory_direction,34,1.229216536197192,1.0351297146923724,0.002592592592592591,-0.04043209876543219,-0.04302469135802478
V1,auditory_direction,35,1.2939121433654657,1.0351297146923724,-0.006878306878306928,-0.00864197530864197,-0.0017636684303350414
V1,auditory_direction,36,1.3586077505337386,1.0351297146923724,0.021164021164021274,-0.019444444444444597,-0.04060846560846587
V1,auditory_direction,37,1.423303357702012,1.0351297146923724,-0.005026455026455046,-0.03425925925925932,-0.029232804232804277
V1,auditory_direction,38,1.4879989648702852,1.0351297146923724,-0.005079365079365128,-0.04290123456790129,-0.037821869488536164
V1,auditory_direction,39,1.5526945720385583,1.0351297146923724,0.00978835978835968,-0.019444444444444375,-0.029232804232804055
V1,auditory_direction,40,1.6173901792068317,1.0351297146923724,-0.0030687830687829987,-0.005555555555555536,-0.002486772486772537
V1,auditory_direction,41,1.682085786375105,1.0351297146923724,0.005185185185185182,-0.02962962962962956,-0.03481481481481474
V1,auditory_direction,42,1.7467813935433782,1.0351297146923724,-0.013227513227513366,0.005864197530864201,0.019091710758377567
V1,auditory_direction,43,1.8114770007116516,1.0351297146923724,0.013703703703703773,-0.009567901234567855,-0.02327160493827163
V1,auditory_direction,44,1.8761726078799248,1.0351297146923724,-0.004232804232804144,0.004012345679012319,0.008245149911816463
V1,auditory_direction,45,1.9408682150481984,1.0351297146923724,-0.00772486772486769,-0.016358024691357942,-0.008633156966490252
V1,auditory_direction,46,2.0055638222164713,1.0351297146923724,0.010105820105820174,-0.016049382716049387,-0.02615520282186956
V1,congruency,0,-0.9704341075240992,1.0351297146923724,0.01690476190476181,-0.019444444444444597,-0.03634920634920641
V1,congruency,1,-0.9057385003558258,1.0351297146923724,0.0069047619047618025,0.00694444444444442,3.968253968261726e-05
V1,congruency,2,-0.8410428931875525,1.0351297146923724,-0.020476190476190537,0.012037037037037068,0.032513227513227605
V1,congruency,3,-0.7763472860192793,1.0351297146923724,0.0011111111111111738,-0.01944444444444443,-0.020555555555555605
V1,congruency,4,-0.711651678851006,1.0351297146923724,-0.00825396825396818,0.04305555555555557,0.05130952380952375
V1,congruency,5,-0.6469560716827327,1.0351297146923724,-0.0031746031746031633,-0.001388888888888884,0.0017857142857142794
V1,congruency,6,-0.5822604645144595,1.0351297146923724,-0.0353174603174603,0.012962962962962954,0.04828042328042326
V1,congruency,7,-0.5175648573461862,1.0351297146923724,-0.004285714285714337,0.0009259259259259967,0.005211640211640334
V1,congruency,8,-0.4528692501779129,1.0351297146923724,-0.0004761904761904079,-0.0032407407407405997,-0.002764550264550192
V1,congruency,9,-0.3881736430096396,1.0351297146923724,-0.011904761904761862,-0.03657407407407415,-0.024669312169312285
V1,congruency,10,-0.3234780358413663,1.0351297146923724,0.024047619047619095,0.004166666666666652,-0.019880952380952444
V1,congruency,11,-0.2587824286730931,1.0351297146923724,0.003015873015872972,0.0009259259259259967,-0.002089947089946975
V1,congruency,12,-0.1940868215048198,1.0351297146923724,0.002222222222222181,0.0004629629629629983,-0.0017592592592591827
V1,congruency,13,-0.1293912143365465,1.0351297146923724,0.004206349206349325,1.1102230246251565e-16,-0.004206349206349214
V1,congruency,14,-0.0646956071682732,1.0351297146923724,0.01182539682539685,0.007407407407407307,-0.004417989417989543
V1,congruency,15,0.0,1.0351297146923724,-0.02571428571428569,-0.0222222222222222,0.0034920634920634908
V1,congruency,16,0.0646956071682732,1.0351297146923724,0.009920634920634885,0.013888888888888895,0.00396825396825401
V1,congruency,17,0.1293912143365465,1.0351297146923724,0.025952380952381005,0.02175925925925931,-0.004193121693121693
V1,congruency,18,0.1940868215048198,1.0351297146923724,-0.03055555555555567,-0.02083333333333348,0.009722222222222188
V1,congruency,19,0.2587824286730931,1.0351297146923724,-0.023650793650793756,-0.010648148148148129,0.013002645502645627
V1,congruency,20,0.3234780358413663,1.0351297146923724,-0.015476190476190532,-0.007407407407407418,0.008068783068783114
V1,congruency,21,0.3881736430096396,1.0351297146923724,0.017539682539682633,-0.016203703703703665,-0.0337433862433863
V1,congruency,22,0.4528692501779129,1.0351297146923724,0.02666666666666656,0.005092592592592482,-0.02157407407407408
V1,congruency,23,0.5175648573461862,1.0351297146923724,0.0326190476190476,-0.004166666666666652,-0.036785714285714255
V1,congruency,24,0.5822604645144595,1.0351297146923724,0.046111111111111214,0.011111111111111072,-0.03500000000000014
V1,congruency,25,0.6469560716827327,1.0351297146923724,0.0013492063492064332,0.010185185185185186,0.008835978835978753
V1,congruency,26,0.711651678851006,1.0351297146923724,-0.005238095238095264,0.007407407407407418,0.012645502645502682
V1,congruency,27,0.7763472860192793,1.0351297146923724,-0.0053968253968254,0.008333333333333304,0.013730158730158704
V1,congruency,28,0.8410428931875525,1.0351297146923724,0.014126984126984099,0.005092592592592482,-0.009034391534391617
V1,congruency,29,0.9057385003558258,1.0351297146923724,0.004444444444444473,0.0009259259259258856,-0.0035185185185185874
V1,congruency,30,0.9704341075240992,1.0351297146923724,-0.0003968253968253954,0.007870370370370416,0.008267195767195812
V1,congruency,31,1.0351297146923724,1.0351297146923724,0.0011111111111111738,0.012962962962963065,0.011851851851851891
V1,congruency,32,1.0998253218606455,1.0351297146923724,0.020476190476190592,-0.009722222222222243,-0.030198412698412835
V1,congruency,33,1.164520929028919,1.0351297146923724,0.027222222222222148,-0.0037037037037036535,-0.0309259259259258
V1,congruency,34,1.229216536197192,1.0351297146923724,0.010238095238095213,0.03796296296296292,0.027724867724867708
V1,congruency,35,1.2939121433654657,1.0351297146923724,0.011746031746031727,-0.022685185185185197,-0.034431216931216924
V1,congruency,36,1.3586077505337386,1.0351297146923724,-0.013809523809523716,-0.006018518518518479,0.007791005291005237
V1,congruency,37,1.423303357702012,1.0351297146923724,0.03476190476190477,0.02546296296296291,-0.009298941798941862
V1,congruency,38,1.4879989648702852,1.0351297146923724,0.014523809523809605,0.037037037037036924,0.02251322751322732
V1,congruency,39,1.5526945720385583,1.0351297146923724,-0.0004761904761904079,0.018055555555555602,0.01853174603174601
V1,congruency,40,1.6173901792068317,1.0351297146923724,-0.007857142857142785,0.040740740740740744,0.04859788359788353
V1,congruency,41,1.682085786375105,1.0351297146923724,0.0007142857142857229,0.027314814814814792,0.02660052910052907
V1,congruency,42,1.7467813935433782,1.0351297146923724,-0.0033333333333332993,0.006018518518518423,0.009351851851851722
V1,congruency,43,1.8114770007116516,1.0351297146923724,0.03015873015873033,0.006018518518518645,-0.024140211640211684
V1,congruency,44,1.8761726078799248,1.0351297146923724,0.03420634920634935,-0.01712962962962955,-0.0513359788359789
V1,congruency,45,1.9408682150481984,1.0351297146923724,0.014444444444444426,0.014351851851851838,-9.259259259258856e-05
V1,congruency,46,2.0055638222164713,1.0351297146923724,0.035555555555555673,0.04166666666666663,0.006111111111110956
V1,modality,0,-0.9704341075240992,1.0351297146923724,-0.0004232804232804921,-0.012500000000000011,-0.012076719576719519
V1,modality,1,-0.9057385003558258,1.0351297146923724,0.0011904761904762418,0.0021604938271604923,0.0009700176366842506
