group,area,task,analysis,signal_source,scoring,mean_score,std_score,sem_score,n_sessions,mean_neurons,min_neurons,max_neurons,group_base,condition
g2pre,LM,trial_type,averaged_trial_response,glm_clean,balanced_accuracy,0.2909722222222222,0.1541885620087333,0.1090277777777777,2,36.5,2,71,g2,pre
g2pre,LM,visual_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.7620370370370371,0.2736765134592378,0.1935185185185185,2,36.5,2,71,g2,pre
g2pre,V1,auditory_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.544675925925926,0.0413546518669975,0.0146210773843814,8,204.5,10,442,g2,pre
g2pre,V1,congruency,averaged_trial_response,glm_clean,balanced_accuracy,0.5097222222222222,0.0525580220234014,0.0185820668892495,8,204.5,10,442,g2,pre
g2pre,V1,modality,averaged_trial_response,glm_clean,balanced_accuracy,0.7997685185185186,0.0779425534747949,0.0275568540525113,8,204.5,10,442,g2,pre
g2pre,V1,trial_type,averaged_trial_response,glm_clean,balanced_accuracy,0.5015625,0.1002296676461367,0.0354365388343286,8,204.5,10,442,g2,pre
g2pre,V1,visual_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.9469907407407406,0.0786542795327152,0.0278084872134626,8,204.5,10,442,g2,pre
g1post,A/RL/AL,auditory_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.6267195767195767,0.146701490530248,0.0554479515579333,7,90.71428571428572,10,175,g1,post
g1post,A/RL/AL,congruency,averaged_trial_response,glm_clean,balanced_accuracy,0.4658730158730159,0.0346838412212045,0.0131092597691083,7,90.71428571428572,10,175,g1,post
g1post,A/RL/AL,modality,averaged_trial_response,glm_clean,balanced_accuracy,0.7113756613756613,0.1324362334650818,0.0500561911889566,7,90.71428571428572,10,175,g1,post
g1post,A/RL/AL,trial_type,averaged_trial_response,glm_clean,balanced_accuracy,0.3825396825396825,0.1343873681810585,0.0507936507936507,7,90.71428571428572,10,175,g1,post
g1post,A/RL/AL,visual_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.7330687830687831,0.1410629376125712,0.0533167788758689,7,90.71428571428572,10,175,g1,post
g1post,AM/PM,auditory_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.5864197530864197,0.0863116607951032,0.0498320605942565,3,34.333333333333336,4,65,g1,post
g1post,AM/PM,congruency,averaged_trial_response,glm_clean,balanced_accuracy,0.4768518518518518,0.0417899410977657,0.0241274337422136,3,34.333333333333336,4,65,g1,post
g1post,AM/PM,modality,averaged_trial_response,glm_clean,balanced_accuracy,0.553395061728395,0.0616720421784902,0.0356063701532252,3,34.333333333333336,4,65,g1,post
g1post,AM/PM,trial_type,averaged_trial_response,glm_clean,balanced_accuracy,0.2828703703703703,0.0470038523944335,0.0271376868328756,3,34.333333333333336,4,65,g1,post
g1post,AM/PM,visual_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.65,0.0979382801642766,0.0565446924168141,3,34.333333333333336,4,65,g1,post
g1post,LM,auditory_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.4777777777777776,0.0104756560175785,0.0074074074074074,2,76.0,75,77,g1,post
g1post,LM,congruency,averaged_trial_response,glm_clean,balanced_accuracy,0.4430555555555555,0.0373195245626233,0.0263888888888888,2,76.0,75,77,g1,post
g1post,LM,modality,averaged_trial_response,glm_clean,balanced_accuracy,0.7162037037037037,0.0333911535560314,0.0236111111111111,2,76.0,75,77,g1,post
g1post,LM,trial_type,averaged_trial_response,glm_clean,balanced_accuracy,0.3763888888888889,0.0039283710065919,0.0027777777777777,2,76.0,75,77,g1,post
g1post,LM,visual_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.923148148148148,0.0720201351208521,0.0509259259259259,2,76.0,75,77,g1,post
g1post,V1,auditory_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.5558641975308641,0.0427359369960248,0.0174468732199985,6,246.16666666666663,59,392,g1,post
g1post,V1,congruency,averaged_trial_response,glm_clean,balanced_accuracy,0.4805555555555556,0.0322509450526666,0.0131663931835951,6,246.16666666666663,59,392,g1,post
g1post,V1,modality,averaged_trial_response,glm_clean,balanced_accuracy,0.793672839506173,0.0682060358675158,0.0278449975422302,6,246.16666666666663,59,392,g1,post
g1post,V1,trial_type,averaged_trial_response,glm_clean,balanced_accuracy,0.4893518518518518,0.1002607197967198,0.0409312674576872,6,246.16666666666663,59,392,g1,post
g1post,V1,visual_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.9126543209876542,0.1180280166379021,0.0481847360192639,6,246.16666666666663,59,392,g1,post
g2post,A/RL/AL,auditory_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.5692592592592594,0.0967191570273274,0.0432541219679161,5,85.4,18,135,g2,post
g2post,A/RL/AL,congruency,averaged_trial_response,glm_clean,balanced_accuracy,0.4944444444444444,0.025,0.0111803398874989,5,85.4,18,135,g2,post
g2post,A/RL/AL,modality,averaged_trial_response,glm_clean,balanced_accuracy,0.8016666666666667,0.0619727416958931,0.0277150526368105,5,85.4,18,135,g2,post
g2post,A/RL/AL,trial_type,averaged_trial_response,glm_clean,balanced_accuracy,0.4797222222222222,0.0858452436900119,0.0383911600871803,5,85.4,18,135,g2,post
g2post,A/RL/AL,visual_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.914074074074074,0.0720510792749932,0.0322222222222222,5,85.4,18,135,g2,post
g2post,AM/PM,auditory_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.6018518518518519,0.087977581631257,0.0507938804374585,3,127.33333333333331,6,195,g2,post
g2post,AM/PM,congruency,averaged_trial_response,glm_clean,balanced_accuracy,0.499074074074074,0.0500257135527411,0.0288823591860782,3,127.33333333333331,6,195,g2,post
g2post,AM/PM,modality,averaged_trial_response,glm_clean,balanced_accuracy,0.6753086419753087,0.2232793784507095,0.1289104092530094,3,127.33333333333331,6,195,g2,post
g2post,AM/PM,trial_type,averaged_trial_response,glm_clean,balanced_accuracy,0.4467592592592593,0.1922812877567632,0.1110136532464951,3,127.33333333333331,6,195,g2,post
g2post,AM/PM,visual_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.8691358024691357,0.1706351940716674,0.0985162752305012,3,127.33333333333331,6,195,g2,post
g2post,LM,auditory_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.5012345679012346,0.0113150017159403,0.0065327192865792,3,22.333333333333332,2,60,g2,post
g2post,LM,congruency,averaged_trial_response,glm_clean,balanced_accuracy,0.475,0.034133904798457,0.0197072191238822,3,22.333333333333332,2,60,g2,post
g2post,LM,modality,averaged_trial_response,glm_clean,balanced_accuracy,0.554320987654321,0.2094831098125898,0.1209451298409786,3,22.333333333333332,2,60,g2,post
g2post,LM,trial_type,averaged_trial_response,glm_clean,balanced_accuracy,0.2921296296296296,0.1397220381414,0.0806685563326604,3,22.333333333333332,2,60,g2,post
g2post,LM,visual_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.7858024691358025,0.2075589173245781,0.1198341967900524,3,22.333333333333332,2,60,g2,post
g2post,V1,auditory_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.5296296296296297,0.0383114090103281,0.0135451285540072,8,232.875,2,520,g2,post
g2post,V1,congruency,averaged_trial_response,glm_clean,balanced_accuracy,0.5048611111111111,0.0392486196524261,0.013876482554221,8,232.875,2,520,g2,post
g2post,V1,modality,averaged_trial_response,glm_clean,balanced_accuracy,0.7870370370370371,0.1267547807635044,0.044814582512844,8,232.875,2,520,g2,post
g2post,V1,trial_type,averaged_trial_response,glm_clean,balanced_accuracy,0.4692708333333333,0.1150742549836969,0.040684893019481,8,232.875,2,520,g2,post
g2post,V1,visual_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.925,0.1267480168237889,0.0448121910990238,8,232.875,2,520,g2,post
