condition,area,task,time_index,time_s,stimulus_offset_s,g1,g2,delta_g2_minus_g1
pre,V1,auditory_direction,0,-0.9704341075240992,1.0351297146923724,0.5059259259259259,0.4965608465608466,-0.009365079365079299
pre,V1,auditory_direction,1,-0.9057385003558258,1.0351297146923724,0.5018518518518519,0.5248677248677248,0.023015873015872934
pre,V1,auditory_direction,2,-0.8410428931875525,1.0351297146923724,0.48,0.4923280423280423,0.012328042328042299
pre,V1,auditory_direction,3,-0.7763472860192793,1.0351297146923724,0.4918518518518519,0.5169312169312169,0.025079365079365035
pre,V1,auditory_direction,4,-0.711651678851006,1.0351297146923724,0.5059259259259259,0.5042328042328043,-0.0016931216931216353
pre,V1,auditory_direction,5,-0.6469560716827327,1.0351297146923724,0.5037037037037038,0.4910052910052909,-0.012698412698412875
pre,V1,auditory_direction,6,-0.5822604645144595,1.0351297146923724,0.5185185185185185,0.4968253968253968,-0.02169312169312171
pre,V1,auditory_direction,7,-0.5175648573461862,1.0351297146923724,0.5025925925925926,0.4997354497354497,-0.0028571428571428914
pre,V1,auditory_direction,8,-0.4528692501779129,1.0351297146923724,0.5092592592592593,0.5044973544973546,-0.004761904761904745
pre,V1,auditory_direction,9,-0.3881736430096396,1.0351297146923724,0.5055555555555555,0.4965608465608465,-0.008994708994709055
pre,V1,auditory_direction,10,-0.3234780358413663,1.0351297146923724,0.4937037037037036,0.4880952380952381,-0.005608465608465507
pre,V1,auditory_direction,11,-0.2587824286730931,1.0351297146923724,0.4981481481481481,0.5047619047619047,0.006613756613756627
pre,V1,auditory_direction,12,-0.1940868215048198,1.0351297146923724,0.4848148148148148,0.4986772486772486,0.013862433862433798
pre,V1,auditory_direction,13,-0.1293912143365465,1.0351297146923724,0.497037037037037,0.4955026455026455,-0.0015343915343914993
pre,V1,auditory_direction,14,-0.0646956071682732,1.0351297146923724,0.5014814814814815,0.4949735449735449,-0.006507936507936629
pre,V1,auditory_direction,15,0.0,1.0351297146923724,0.5055555555555555,0.5060846560846561,0.0005291005291006012
pre,V1,auditory_direction,16,0.0646956071682732,1.0351297146923724,0.5103703703703705,0.4904761904761905,-0.019894179894179964
pre,V1,auditory_direction,17,0.1293912143365465,1.0351297146923724,0.4929629629629629,0.4978835978835979,0.004920634920634992
pre,V1,auditory_direction,18,0.1940868215048198,1.0351297146923724,0.5092592592592593,0.5248677248677249,0.015608465608465627
pre,V1,auditory_direction,19,0.2587824286730931,1.0351297146923724,0.4892592592592592,0.517989417989418,0.028730158730158772
pre,V1,auditory_direction,20,0.3234780358413663,1.0351297146923724,0.5274074074074073,0.533068783068783,0.0056613756613757005
pre,V1,auditory_direction,21,0.3881736430096396,1.0351297146923724,0.5270370370370371,0.5523809523809524,0.025343915343915335
pre,V1,auditory_direction,22,0.4528692501779129,1.0351297146923724,0.5485185185185186,0.5322751322751322,-0.016243386243386393
pre,V1,auditory_direction,23,0.5175648573461862,1.0351297146923724,0.5314814814814814,0.5415343915343915,0.010052910052910091
pre,V1,auditory_direction,24,0.5822604645144595,1.0351297146923724,0.5244444444444445,0.5359788359788359,0.011534391534391397
pre,V1,auditory_direction,25,0.6469560716827327,1.0351297146923724,0.5377777777777778,0.5534391534391535,0.01566137566137571
pre,V1,auditory_direction,26,0.711651678851006,1.0351297146923724,0.5448148148148149,0.5455026455026455,0.0006878306878306262
pre,V1,auditory_direction,27,0.7763472860192793,1.0351297146923724,0.5511111111111111,0.5605820105820106,0.009470899470899519
pre,V1,auditory_direction,28,0.8410428931875525,1.0351297146923724,0.5144444444444444,0.5584656084656084,0.04402116402116407
pre,V1,auditory_direction,29,0.9057385003558258,1.0351297146923724,0.5640740740740741,0.5304232804232805,-0.0336507936507936
pre,V1,auditory_direction,30,0.9704341075240992,1.0351297146923724,0.5422222222222223,0.541005291005291,-0.0012169312169312274
pre,V1,auditory_direction,31,1.0351297146923724,1.0351297146923724,0.5451851851851852,0.5412698412698413,-0.003915343915343872
pre,V1,auditory_direction,32,1.0998253218606455,1.0351297146923724,0.532962962962963,0.5476190476190477,0.0146560846560847
pre,V1,auditory_direction,33,1.164520929028919,1.0351297146923724,0.535925925925926,0.5452380952380952,0.00931216931216916
pre,V1,auditory_direction,34,1.229216536197192,1.0351297146923724,0.5418518518518519,0.5444444444444445,0.002592592592592591
pre,V1,auditory_direction,35,1.2939121433654657,1.0351297146923724,0.5277777777777778,0.5208994708994709,-0.006878306878306928
pre,V1,auditory_direction,36,1.3586077505337386,1.0351297146923724,0.5074074074074073,0.5285714285714286,0.021164021164021274
pre,V1,auditory_direction,37,1.423303357702012,1.0351297146923724,0.5277777777777778,0.5227513227513227,-0.005026455026455046
pre,V1,auditory_direction,38,1.4879989648702852,1.0351297146923724,0.5325925925925926,0.5275132275132275,-0.005079365079365128
pre,V1,auditory_direction,39,1.5526945720385583,1.0351297146923724,0.5222222222222223,0.5320105820105819,0.00978835978835968
pre,V1,auditory_direction,40,1.6173901792068317,1.0351297146923724,0.5199999999999999,0.5169312169312169,-0.0030687830687829987
pre,V1,auditory_direction,41,1.682085786375105,1.0351297146923724,0.5318518518518519,0.5370370370370371,0.005185185185185182
pre,V1,auditory_direction,42,1.7467813935433782,1.0351297146923724,0.5333333333333334,0.5201058201058201,-0.013227513227513366
pre,V1,auditory_direction,43,1.8114770007116516,1.0351297146923724,0.5196296296296297,0.5333333333333334,0.013703703703703773
pre,V1,auditory_direction,44,1.8761726078799248,1.0351297146923724,0.5129629629629628,0.5087301587301587,-0.004232804232804144
pre,V1,auditory_direction,45,1.9408682150481984,1.0351297146923724,0.5288888888888889,0.5211640211640212,-0.00772486772486769
pre,V1,auditory_direction,46,2.0055638222164713,1.0351297146923724,0.5062962962962962,0.5164021164021164,0.010105820105820174
pre,V1,congruency,0,-0.9704341075240992,1.0351297146923724,0.4811111111111111,0.4980158730158729,0.01690476190476181
pre,V1,congruency,1,-0.9057385003558258,1.0351297146923724,0.4855555555555556,0.4924603174603174,0.0069047619047618025
pre,V1,congruency,2,-0.8410428931875525,1.0351297146923724,0.5216666666666667,0.5011904761904762,-0.020476190476190537
pre,V1,congruency,3,-0.7763472860192793,1.0351297146923724,0.5044444444444445,0.5055555555555556,0.0011111111111111738
pre,V1,congruency,4,-0.711651678851006,1.0351297146923724,0.5011111111111111,0.4928571428571429,-0.00825396825396818
pre,V1,congruency,5,-0.6469560716827327,1.0351297146923724,0.5083333333333333,0.5051587301587301,-0.0031746031746031633
pre,V1,congruency,6,-0.5822604645144595,1.0351297146923724,0.5166666666666666,0.4813492063492063,-0.0353174603174603
pre,V1,congruency,7,-0.5175648573461862,1.0351297146923724,0.5122222222222222,0.5079365079365079,-0.004285714285714337
pre,V1,congruency,8,-0.4528692501779129,1.0351297146923724,0.5127777777777778,0.5123015873015874,-0.0004761904761904079
pre,V1,congruency,9,-0.3881736430096396,1.0351297146923724,0.5055555555555555,0.4936507936507937,-0.011904761904761862
pre,V1,congruency,10,-0.3234780358413663,1.0351297146923724,0.4755555555555555,0.4996031746031746,0.024047619047619095
pre,V1,congruency,11,-0.2587824286730931,1.0351297146923724,0.4894444444444444,0.4924603174603174,0.003015873015872972
pre,V1,congruency,12,-0.1940868215048198,1.0351297146923724,0.495,0.4972222222222222,0.002222222222222181
pre,V1,congruency,13,-0.1293912143365465,1.0351297146923724,0.5061111111111111,0.5103174603174604,0.004206349206349325
