condition,area,g1,g2,delta_g2_minus_g1
pre,V1,229.0,204.5,-24.5
pre,AM/PM,29.5,133.75,104.25
pre,A/RL/AL,81.875,85.71428571428571,3.839285714285708
pre,LM,54.5,24.666666666666668,-29.833333333333332
post,V1,246.16666666666666,232.875,-13.291666666666657
post,AM/PM,34.333333333333336,127.33333333333333,93.0
post,A/RL/AL,90.71428571428571,85.4,-5.3142857142857025
post,LM,76.0,22.333333333333332,-53.66666666666667
