group_base,area,task,time_index,time_s,stimulus_offset_s,pre,post,delta_post_minus_pre
g1,V1,auditory_direction,0,-0.9704341075240992,1.0351297146923724,0.5059259259259259,0.5151234567901234,0.0091975308641975
g1,V1,auditory_direction,1,-0.9057385003558258,1.0351297146923724,0.5018518518518519,0.4969135802469136,-0.00493827160493826
g1,V1,auditory_direction,2,-0.8410428931875525,1.0351297146923724,0.48,0.4972222222222222,0.017222222222222194
g1,V1,auditory_direction,3,-0.7763472860192793,1.0351297146923724,0.4918518518518519,0.5132716049382716,0.021419753086419746
g1,V1,auditory_direction,4,-0.711651678851006,1.0351297146923724,0.5059259259259259,0.5040123456790123,-0.001913580246913571
g1,V1,auditory_direction,5,-0.6469560716827327,1.0351297146923724,0.5037037037037038,0.495679012345679,-0.00802469135802475
g1,V1,auditory_direction,6,-0.5822604645144595,1.0351297146923724,0.5185185185185185,0.5030864197530863,-0.015432098765432167
g1,V1,auditory_direction,7,-0.5175648573461862,1.0351297146923724,0.5025925925925926,0.5070987654320988,0.004506172839506162
g1,V1,auditory_direction,8,-0.4528692501779129,1.0351297146923724,0.5092592592592593,0.5089506172839506,-0.00030864197530866555
g1,V1,auditory_direction,9,-0.3881736430096396,1.0351297146923724,0.5055555555555555,0.5055555555555555,0.0
g1,V1,auditory_direction,10,-0.3234780358413663,1.0351297146923724,0.4937037037037036,0.5086419753086421,0.014938271604938491
g1,V1,auditory_direction,11,-0.2587824286730931,1.0351297146923724,0.4981481481481481,0.5046296296296297,0.0064814814814815325
g1,V1,auditory_direction,12,-0.1940868215048198,1.0351297146923724,0.4848148148148148,0.4919753086419753,0.007160493827160497
g1,V1,auditory_direction,13,-0.1293912143365465,1.0351297146923724,0.497037037037037,0.4907407407407407,-0.0062962962962963
g1,V1,auditory_direction,14,-0.0646956071682732,1.0351297146923724,0.5014814814814815,0.4873456790123456,-0.014135802469135927
g1,V1,auditory_direction,15,0.0,1.0351297146923724,0.5055555555555555,0.4882716049382716,-0.01728395061728394
g1,V1,auditory_direction,16,0.0646956071682732,1.0351297146923724,0.5103703703703705,0.4975308641975309,-0.012839506172839577
g1,V1,auditory_direction,17,0.1293912143365465,1.0351297146923724,0.4929629629629629,0.5024691358024691,0.009506172839506222
g1,V1,auditory_direction,18,0.1940868215048198,1.0351297146923724,0.5092592592592593,0.5209876543209876,0.011728395061728292
g1,V1,auditory_direction,19,0.2587824286730931,1.0351297146923724,0.4892592592592592,0.512962962962963,0.023703703703703727
g1,V1,auditory_direction,20,0.3234780358413663,1.0351297146923724,0.5274074074074073,0.5373456790123458,0.009938271604938431
g1,V1,auditory_direction,21,0.3881736430096396,1.0351297146923724,0.5270370370370371,0.5361111111111111,0.009074074074074012
g1,V1,auditory_direction,22,0.4528692501779129,1.0351297146923724,0.5485185185185186,0.5419753086419753,-0.006543209876543332
g1,V1,auditory_direction,23,0.5175648573461862,1.0351297146923724,0.5314814814814814,0.5524691358024691,0.020987654320987703
g1,V1,auditory_direction,24,0.5822604645144595,1.0351297146923724,0.5244444444444445,0.5635802469135803,0.03913580246913584
g1,V1,auditory_direction,25,0.6469560716827327,1.0351297146923724,0.5377777777777778,0.5478395061728395,0.010061728395061698
