group,session_index,session_name,area,task,analysis,score,n_neurons,n_samples,n_classes,signal_source,scoring
g1pre,4,Kappa_20221102_002,A/RL/AL,trial_type,averaged_trial_response,0.44027777777777777,105,720,8,signal,balanced_accuracy
g1pre,5,Poli_20220217_008,V1,visual_direction,averaged_trial_response,0.9574074074074075,146,540,2,signal,balanced_accuracy
g1pre,5,Poli_20220217_008,V1,auditory_direction,averaged_trial_response,0.6148148148148148,146,540,2,signal,balanced_accuracy
g1pre,5,Poli_20220217_008,V1,congruency,averaged_trial_response,0.48611111111111105,146,360,2,signal,balanced_accuracy
g1pre,5,Poli_20220217_008,V1,modality,averaged_trial_response,0.7620370370370371,146,720,3,signal,balanced_accuracy
g1pre,5,Poli_20220217_008,V1,trial_type,averaged_trial_response,0.4875,146,720,8,signal,balanced_accuracy
g1pre,5,Poli_20220217_008,AM/PM,visual_direction,averaged_trial_response,0.7907407407407406,11,540,2,signal,balanced_accuracy
g1pre,5,Poli_20220217_008,AM/PM,auditory_direction,averaged_trial_response,0.5074074074074074,11,540,2,signal,balanced_accuracy
g1pre,5,Poli_20220217_008,AM/PM,congruency,averaged_trial_response,0.5111111111111111,11,360,2,signal,balanced_accuracy
g1pre,5,Poli_20220217_008,AM/PM,modality,averaged_trial_response,0.5583333333333333,11,720,3,signal,balanced_accuracy
g1pre,5,Poli_20220217_008,AM/PM,trial_type,averaged_trial_response,0.2694444444444445,11,720,8,signal,balanced_accuracy
g1pre,5,Poli_20220217_008,A/RL/AL,visual_direction,averaged_trial_response,0.5444444444444445,3,540,2,signal,balanced_accuracy
g1pre,5,Poli_20220217_008,A/RL/AL,auditory_direction,averaged_trial_response,0.5277777777777778,3,540,2,signal,balanced_accuracy
g1pre,5,Poli_20220217_008,A/RL/AL,congruency,averaged_trial_response,0.5333333333333334,3,360,2,signal,balanced_accuracy
g1pre,5,Poli_20220217_008,A/RL/AL,modality,averaged_trial_response,0.3731481481481482,3,720,3,signal,balanced_accuracy
g1pre,5,Poli_20220217_008,A/RL/AL,trial_type,averaged_trial_response,0.15416666666666667,3,720,8,signal,balanced_accuracy
g1pre,6,Theta_20220102_002,V1,visual_direction,averaged_trial_response,0.7296296296296296,26,540,2,signal,balanced_accuracy
g1pre,6,Theta_20220102_002,V1,auditory_direction,averaged_trial_response,0.5018518518518519,26,540,2,signal,balanced_accuracy
g1pre,6,Theta_20220102_002,V1,congruency,averaged_trial_response,0.4666666666666666,26,360,2,signal,balanced_accuracy
g1pre,6,Theta_20220102_002,V1,modality,averaged_trial_response,0.6398148148148148,26,720,3,signal,balanced_accuracy
g1pre,6,Theta_20220102_002,V1,trial_type,averaged_trial_response,0.30972222222222223,26,720,8,signal,balanced_accuracy
g1pre,6,Theta_20220102_002,A/RL/AL,visual_direction,averaged_trial_response,0.9944444444444445,62,540,2,signal,balanced_accuracy
g1pre,6,Theta_20220102_002,A/RL/AL,auditory_direction,averaged_trial_response,0.5574074074074074,62,540,2,signal,balanced_accuracy
g1pre,6,Theta_20220102_002,A/RL/AL,congruency,averaged_trial_response,0.4722222222222222,62,360,2,signal,balanced_accuracy
g1pre,6,Theta_20220102_002,A/RL/AL,modality,averaged_trial_response,0.6787037037037037,62,720,3,signal,balanced_accuracy
g1pre,6,Theta_20220102_002,A/RL/AL,trial_type,averaged_trial_response,0.4027777777777777,62,720,8,signal,balanced_accuracy
g1pre,6,Theta_20220102_002,LM,visual_direction,averaged_trial_response,0.8518518518518519,64,540,2,signal,balanced_accuracy
g1pre,6,Theta_20220102_002,LM,auditory_direction,averaged_trial_response,0.512962962962963,64,540,2,signal,balanced_accuracy
g1pre,6,Theta_20220102_002,LM,congruency,averaged_trial_response,0.5083333333333333,64,360,2,signal,balanced_accuracy
g1pre,6,Theta_20220102_002,LM,modality,averaged_trial_response,0.6768518518518518,64,720,3,signal,balanced_accuracy
g1pre,6,Theta_20220102_002,LM,trial_type,averaged_trial_response,0.34305555555555556,64,720,8,signal,balanced_accuracy
g1pre,7,Zeta_20211202_002,V1,visual_direction,averaged_trial_response,0.5851851851851853,185,540,2,signal,balanced_accuracy
g1pre,7,Zeta_20211202_002,V1,auditory_direction,averaged_trial_response,0.4777777777777777,185,540,2,signal,balanced_accuracy
g1pre,7,Zeta_20211202_002,V1,congruency,averaged_trial_response,0.41388888888888886,185,360,2,signal,balanced_accuracy
g1pre,7,Zeta_20211202_002,V1,modality,averaged_trial_response,0.36666666666666664,185,720,3,signal,balanced_accuracy
g1pre,7,Zeta_20211202_002,V1,trial_type,averaged_trial_response,0.1472222222222222,185,720,8,signal,balanced_accuracy
g1pre,7,Zeta_20211202_002,A/RL/AL,visual_direction,averaged_trial_response,0.512962962962963,50,540,2,signal,balanced_accuracy
g1pre,7,Zeta_20211202_002,A/RL/AL,auditory_direction,averaged_trial_response,0.4537037037037037,50,540,2,signal,balanced_accuracy
g1pre,7,Zeta_20211202_002,A/RL/AL,congruency,averaged_trial_response,0.5027777777777778,50,360,2,signal,balanced_accuracy
g1pre,7,Zeta_20211202_002,A/RL/AL,modality,averaged_trial_response,0.3592592592592593,50,720,3,signal,balanced_accuracy
g1pre,7,Zeta_20211202_002,A/RL/AL,trial_type,averaged_trial_response,0.15555555555555559,50,720,8,signal,balanced_accuracy
g1pre,8,Zeta_20211202_011,V1,visual_direction,averaged_trial_response,0.9444444444444443,397,540,2,signal,balanced_accuracy
g1pre,8,Zeta_20211202_011,V1,auditory_direction,averaged_trial_response,0.587037037037037,397,540,2,signal,balanced_accuracy
g1pre,8,Zeta_20211202_011,V1,congruency,averaged_trial_response,0.5166666666666667,397,360,2,signal,balanced_accuracy
g1pre,8,Zeta_20211202_011,V1,modality,averaged_trial_response,0.7138888888888888,397,720,3,signal,balanced_accuracy
g1pre,8,Zeta_20211202_011,V1,trial_type,averaged_trial_response,0.46944444444444444,397,720,8,signal,balanced_accuracy
g2pre,0,Dieciceis_20230725_002,AM/PM,visual_direction,averaged_trial_response,0.9944444444444445,185,540,2,signal,balanced_accuracy
g2pre,0,Dieciceis_20230725_002,AM/PM,auditory_direction,averaged_trial_response,0.6666666666666667,185,540,2,signal,balanced_accuracy
g2pre,0,Dieciceis_20230725_002,AM/PM,congruency,averaged_trial_response,0.47777777777777775,185,360,2,signal,balanced_accuracy
g2pre,0,Dieciceis_20230725_002,AM/PM,modality,averaged_trial_response,0.9037037037037038,185,720,3,signal,balanced_accuracy
g2pre,0,Dieciceis_20230725_002,AM/PM,trial_type,averaged_trial_response,0.663888888888889,185,720,8,signal,balanced_accuracy
g2pre,1,Diez_20220908_008,AM/PM,visual_direction,averaged_trial_response,0.9870370370370368,159,540,2,signal,balanced_accuracy
g2pre,1,Diez_20220908_008,AM/PM,auditory_direction,averaged_trial_response,0.6166666666666667,159,540,2,signal,balanced_accuracy
g2pre,1,Diez_20220908_008,AM/PM,congruency,averaged_trial_response,0.5722222222222222,159,360,2,signal,balanced_accuracy
g2pre,1,Diez_20220908_008,AM/PM,modality,averaged_trial_response,0.8481481481481481,159,720,3,signal,balanced_accuracy
g2pre,1,Diez_20220908_008,AM/PM,trial_type,averaged_trial_response,0.6319444444444444,159,720,8,signal,balanced_accuracy
g2pre,1,Diez_20220908_008,A/RL/AL,visual_direction,averaged_trial_response,0.875925925925926,113,540,2,signal,balanced_accuracy
g2pre,1,Diez_20220908_008,A/RL/AL,auditory_direction,averaged_trial_response,0.725925925925926,113,540,2,signal,balanced_accuracy
g2pre,1,Diez_20220908_008,A/RL/AL,congruency,averaged_trial_response,0.5361111111111111,113,360,2,signal,balanced_accuracy
g2pre,1,Diez_20220908_008,A/RL/AL,modality,averaged_trial_response,0.8472222222222221,113,720,3,signal,balanced_accuracy
g2pre,1,Diez_20220908_008,A/RL/AL,trial_type,averaged_trial_response,0.6319444444444444,113,720,8,signal,balanced_accuracy
g2pre,2,Duo_000_002,V1,visual_direction,averaged_trial_response,0.9592592592592594,177,540,2,signal,balanced_accuracy
g2pre,2,Duo_000_002,V1,auditory_direction,averaged_trial_response,0.5,177,540,2,signal,balanced_accuracy
g2pre,2,Duo_000_002,V1,congruency,averaged_trial_response,0.4027777777777778,177,360,2,signal,balanced_accuracy
g2pre,2,Duo_000_002,V1,modality,averaged_trial_response,0.749074074074074,177,720,3,signal,balanced_accuracy
g2pre,2,Duo_000_002,V1,trial_type,averaged_trial_response,0.4111111111111111,177,720,8,signal,balanced_accuracy
g2pre,2,Duo_000_002,A/RL/AL,visual_direction,averaged_trial_response,0.9888888888888889,71,540,2,signal,balanced_accuracy
g2pre,2,Duo_000_002,A/RL/AL,auditory_direction,averaged_trial_response,0.5259259259259259,71,540,2,signal,balanced_accuracy
g2pre,2,Duo_000_002,A/RL/AL,congruency,averaged_trial_response,0.4583333333333333,71,360,2,signal,balanced_accuracy
g2pre,2,Duo_000_002,A/RL/AL,modality,averaged_trial_response,0.7296296296296296,71,720,3,signal,balanced_accuracy
g2pre,2,Duo_000_002,A/RL/AL,trial_type,averaged_trial_response,0.38888888888888884,71,720,8,signal,balanced_accuracy
g2pre,3,Nueve_20220804_001,V1,visual_direction,averaged_trial_response,0.9962962962962962,331,540,2,signal,balanced_accuracy
g2pre,3,Nueve_20220804_001,V1,auditory_direction,averaged_trial_response,0.512962962962963,331,540,2,signal,balanced_accuracy
g2pre,3,Nueve_20220804_001,V1,congruency,averaged_trial_response,0.5083333333333333,331,360,2,signal,balanced_accuracy
g2pre,3,Nueve_20220804_001,V1,modality,averaged_trial_response,0.8194444444444443,331,720,3,signal,balanced_accuracy
g2pre,3,Nueve_20220804_001,V1,trial_type,averaged_trial_response,0.5180555555555555,331,720,8,signal,balanced_accuracy
g2pre,4,Ocho_20220804_006,V1,visual_direction,averaged_trial_response,0.8092592592592591,60,540,2,signal,balanced_accuracy
g2pre,4,Ocho_20220804_006,V1,auditory_direction,averaged_trial_response,0.5722222222222222,60,540,2,signal,balanced_accuracy
g2pre,4,Ocho_20220804_006,V1,congruency,averaged_trial_response,0.4638888888888889,60,360,2,signal,balanced_accuracy
g2pre,4,Ocho_20220804_006,V1,modality,averaged_trial_response,0.7768518518518519,60,720,3,signal,balanced_accuracy
g2pre,4,Ocho_20220804_006,V1,trial_type,averaged_trial_response,0.41944444444444445,60,720,8,signal,balanced_accuracy
g2pre,4,Ocho_20220804_006,A/RL/AL,visual_direction,averaged_trial_response,0.8833333333333334,15,540,2,signal,balanced_accuracy
g2pre,4,Ocho_20220804_006,A/RL/AL,auditory_direction,averaged_trial_response,0.5296296296296297,15,540,2,signal,balanced_accuracy
g2pre,4,Ocho_20220804_006,A/RL/AL,congruency,averaged_trial_response,0.4805555555555555,15,360,2,signal,balanced_accuracy
g2pre,4,Ocho_20220804_006,A/RL/AL,modality,averaged_trial_response,0.6916666666666667,15,720,3,signal,balanced_accuracy
g2pre,4,Ocho_20220804_006,A/RL/AL,trial_type,averaged_trial_response,0.39305555555555555,15,720,8,signal,balanced_accuracy
g2pre,4,Ocho_20220804_006,LM,visual_direction,averaged_trial_response,0.9592592592592594,71,540,2,signal,balanced_accuracy
g2pre,4,Ocho_20220804_006,LM,auditory_direction,averaged_trial_response,0.4925925925925926,71,540,2,signal,balanced_accuracy
g2pre,4,Ocho_20220804_006,LM,congruency,averaged_trial_response,0.4916666666666666,71,360,2,signal,balanced_accuracy
g2pre,4,Ocho_20220804_006,LM,modality,averaged_trial_response,0.7166666666666667,71,720,3,signal,balanced_accuracy
g2pre,4,Ocho_20220804_006,LM,trial_type,averaged_trial_response,0.4041666666666667,71,720,8,signal,balanced_accuracy
g2pre,5,Once_20230721_003,AM/PM,visual_direction,averaged_trial_response,0.4981481481481482,5,540,2,signal,balanced_accuracy
g2pre,5,Once_20230721_003,AM/PM,auditory_direction,averaged_trial_response,0.4981481481481482,5,540,2,signal,balanced_accuracy
g2pre,5,Once_20230721_003,AM/PM,congruency,averaged_trial_response,0.5333333333333334,5,360,2,signal,balanced_accuracy
g2pre,5,Once_20230721_003,AM/PM,modality,averaged_trial_response,0.3694444444444444,5,720,3,signal,balanced_accuracy
g2pre,5,Once_20230721_003,AM/PM,trial_type,averaged_trial_response,0.17916666666666667,5,720,8,signal,balanced_accuracy
g2pre,5,Once_20230721_003,A/RL/AL,visual_direction,averaged_trial_response,0.7648148148148148,111,540,2,signal,balanced_accuracy
g2pre,5,Once_20230721_003,A/RL/AL,auditory_direction,averaged_trial_response,0.6314814814814815,111,540,2,signal,balanced_accuracy
g2pre,5,Once_20230721_003,A/RL/AL,congruency,averaged_trial_response,0.5527777777777778,111,360,2,signal,balanced_accuracy
g2pre,5,Once_20230721_003,A/RL/AL,modality,averaged_trial_response,0.6962962962962963,111,720,3,signal,balanced_accuracy
g2pre,5,Once_20230721_003,A/RL/AL,trial_type,averaged_trial_response,0.375,111,720,8,signal,balanced_accuracy
g2pre,6,Quatro_20220128_001,V1,visual_direction,averaged_trial_response,0.9962962962962962,334,540,2,signal,balanced_accuracy
g2pre,6,Quatro_20220128_001,V1,auditory_direction,averaged_trial_response,0.5685185185185185,334,540,2,signal,balanced_accuracy
g2pre,6,Quatro_20220128_001,V1,congruency,averaged_trial_response,0.5166666666666666,334,360,2,signal,balanced_accuracy
g2pre,6,Quatro_20220128_001,V1,modality,averaged_trial_response,0.8435185185185186,334,720,3,signal,balanced_accuracy
g2pre,6,Quatro_20220128_001,V1,trial_type,averaged_trial_response,0.5388888888888889,334,720,8,signal,balanced_accuracy
g2pre,7,Quince_20230725_001,V1,visual_direction,averaged_trial_response,0.9888888888888889,95,540,2,signal,balanced_accuracy
g2pre,7,Quince_20230725_001,V1,auditory_direction,averaged_trial_response,0.538888888888889,95,540,2,signal,balanced_accuracy
g2pre,7,Quince_20230725_001,V1,congruency,averaged_trial_response,0.5333333333333334,95,360,2,signal,balanced_accuracy
g2pre,7,Quince_20230725_001,V1,modality,averaged_trial_response,0.8268518518518517,95,720,3,signal,balanced_accuracy
g2pre,7,Quince_20230725_001,V1,trial_type,averaged_trial_response,0.5486111111111112,95,720,8,signal,balanced_accuracy
g2pre,8,Quince_20230725_003,A/RL/AL,visual_direction,averaged_trial_response,0.9148148148148149,149,540,2,signal,balanced_accuracy
g2pre,8,Quince_20230725_003,A/RL/AL,auditory_direction,averaged_trial_response,0.5851851851851853,149,540,2,signal,balanced_accuracy
g2pre,8,Quince_20230725_003,A/RL/AL,congruency,averaged_trial_response,0.49444444444444446,149,360,2,signal,balanced_accuracy
g2pre,8,Quince_20230725_003,A/RL/AL,modality,averaged_trial_response,0.8240740740740741,149,720,3,signal,balanced_accuracy
g2pre,8,Quince_20230725_003,A/RL/AL,trial_type,averaged_trial_response,0.5666666666666667,149,720,8,signal,balanced_accuracy
g2pre,9,Siette_20220802_003,V1,visual_direction,averaged_trial_response,0.825925925925926,10,540,2,signal,balanced_accuracy
g2pre,9,Siette_20220802_003,V1,auditory_direction,averaged_trial_response,0.4981481481481481,10,540,2,signal,balanced_accuracy
g2pre,9,Siette_20220802_003,V1,congruency,averaged_trial_response,0.513888888888889,10,360,2,signal,balanced_accuracy
g2pre,9,Siette_20220802_003,V1,modality,averaged_trial_response,0.6574074074074074,10,720,3,signal,balanced_accuracy
g2pre,9,Siette_20220802_003,V1,trial_type,averaged_trial_response,0.35,10,720,8,signal,balanced_accuracy
g2pre,9,Siette_20220802_003,A/RL/AL,visual_direction,averaged_trial_response,0.975925925925926,77,540,2,signal,balanced_accuracy
g2pre,9,Siette_20220802_003,A/RL/AL,auditory_direction,averaged_trial_response,0.5037037037037038,77,540,2,signal,balanced_accuracy
g2pre,9,Siette_20220802_003,A/RL/AL,congruency,averaged_trial_response,0.5361111111111112,77,360,2,signal,balanced_accuracy
g2pre,9,Siette_20220802_003,A/RL/AL,modality,averaged_trial_response,0.7546296296296298,77,720,3,signal,balanced_accuracy
g2pre,9,Siette_20220802_003,A/RL/AL,trial_type,averaged_trial_response,0.4444444444444445,77,720,8,signal,balanced_accuracy
g2pre,9,Siette_20220802_003,LM,visual_direction,averaged_trial_response,0.5462962962962964,2,540,2,signal,balanced_accuracy
g2pre,9,Siette_20220802_003,LM,auditory_direction,averaged_trial_response,0.4796296296296296,2,540,2,signal,balanced_accuracy
g2pre,9,Siette_20220802_003,LM,congruency,averaged_trial_response,0.4805555555555555,2,360,2,signal,balanced_accuracy
g2pre,9,Siette_20220802_003,LM,modality,averaged_trial_response,0.5074074074074074,2,720,3,signal,balanced_accuracy
g2pre,9,Siette_20220802_003,LM,trial_type,averaged_trial_response,0.2013888888888889,2,720,8,signal,balanced_accuracy
g2pre,10,Trece_20230721_001,V1,visual_direction,averaged_trial_response,0.9981481481481481,187,540,2,signal,balanced_accuracy
g2pre,10,Trece_20230721_001,V1,auditory_direction,averaged_trial_response,0.6185185185185185,187,540,2,signal,balanced_accuracy
