group,area,task,analysis,signal_source,scoring,time_index,time_s,stimulus_offset_s,mean_score,std_score,sem_score,n_sessions,mean_neurons,min_neurons,max_neurons
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,signal,balanced_accuracy,30,0.9704341075240991,1.0351297146923724,0.5785714285714285,0.13168501522954296,0.04977225738444627,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,signal,balanced_accuracy,31,1.0351297146923724,1.0351297146923724,0.5828042328042329,0.14179959988265003,0.053595211042565094,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,signal,balanced_accuracy,32,1.0998253218606455,1.0351297146923724,0.5820105820105821,0.12928399373216581,0.04886475655950629,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,signal,balanced_accuracy,33,1.164520929028919,1.0351297146923724,0.5883597883597884,0.13813256741033816,0.05220920304666002,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,signal,balanced_accuracy,34,1.229216536197192,1.0351297146923724,0.5867724867724868,0.13599633428680122,0.05140178281989752,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,signal,balanced_accuracy,35,1.2939121433654655,1.0351297146923724,0.5973544973544973,0.12810772012177027,0.04842016692423848,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,signal,balanced_accuracy,36,1.3586077505337386,1.0351297146923724,0.5801587301587301,0.11221017275140716,0.042411458810259955,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,signal,balanced_accuracy,37,1.423303357702012,1.0351297146923724,0.5751322751322752,0.115107438445675,0.043506522311561616,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,signal,balanced_accuracy,38,1.4879989648702852,1.0351297146923724,0.5732804232804233,0.12850418473655623,0.048570016463432855,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,signal,balanced_accuracy,39,1.5526945720385585,1.0351297146923724,0.566931216931217,0.12488416476239203,0.04720177752161501,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,signal,balanced_accuracy,40,1.6173901792068317,1.0351297146923724,0.5796296296296297,0.10660084560402588,0.04029133243106364,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,signal,balanced_accuracy,41,1.682085786375105,1.0351297146923724,0.5682539682539682,0.1172844147396368,0.04432934200926247,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,signal,balanced_accuracy,42,1.7467813935433782,1.0351297146923724,0.5703703703703704,0.11154749696271338,0.04216099090501034,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,signal,balanced_accuracy,43,1.8114770007116516,1.0351297146923724,0.5563492063492064,0.12168727460839923,0.04599346661929274,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,signal,balanced_accuracy,44,1.8761726078799248,1.0351297146923724,0.5830687830687831,0.0884339474832863,0.03342489035664598,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,signal,balanced_accuracy,45,1.9408682150481982,1.0351297146923724,0.5404761904761904,0.11479703452245296,0.043389200656301,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,signal,balanced_accuracy,46,2.0055638222164713,1.0351297146923724,0.5547619047619048,0.10632090491833364,0.04018552479732213,7,93.14285714285714,44,169
g1pre,A/RL/AL,congruency,time_resolved_trial_response,signal,balanced_accuracy,0,-0.9704341075240991,1.0351297146923724,0.4857142857142857,0.03407464917849154,0.012879006819722852,7,93.14285714285714,44,169
g1pre,A/RL/AL,congruency,time_resolved_trial_response,signal,balanced_accuracy,1,-0.9057385003558258,1.0351297146923724,0.4920634920634921,0.02423885405408806,0.009161425698900966,7,93.14285714285714,44,169
g1pre,A/RL/AL,congruency,time_resolved_trial_response,signal,balanced_accuracy,2,-0.8410428931875525,1.0351297146923724,0.5059523809523809,0.035624519758100555,0.01346480283657728,7,93.14285714285714,44,169
g1pre,A/RL/AL,congruency,time_resolved_trial_response,signal,balanced_accuracy,3,-0.7763472860192793,1.0351297146923724,0.4928571428571429,0.04385773457252682,0.016576665535083662,7,93.14285714285714,44,169
g1pre,A/RL/AL,congruency,time_resolved_trial_response,signal,balanced_accuracy,4,-0.711651678851006,1.0351297146923724,0.4738095238095238,0.037946828420620485,0.014342553006371387,7,93.14285714285714,44,169
g1pre,A/RL/AL,congruency,time_resolved_trial_response,signal,balanced_accuracy,5,-0.6469560716827327,1.0351297146923724,0.4876984126984127,0.020716160794128996,0.00782997279732738,7,93.14285714285714,44,169
g1pre,A/RL/AL,congruency,time_resolved_trial_response,signal,balanced_accuracy,6,-0.5822604645144595,1.0351297146923724,0.5047619047619047,0.03627861031155366,0.013712025827913496,7,93.14285714285714,44,169
g1pre,A/RL/AL,congruency,time_resolved_trial_response,signal,balanced_accuracy,7,-0.5175648573461862,1.0351297146923724,0.5083333333333334,0.02500000000000003,0.00944911182523069,7,93.14285714285714,44,169
g1pre,A/RL/AL,congruency,time_resolved_trial_response,signal,balanced_accuracy,8,-0.4528692501779129,1.0351297146923724,0.5130952380952382,0.027718190055714794,0.010476491097177845,7,93.14285714285714,44,169
g1pre,A/RL/AL,congruency,time_resolved_trial_response,signal,balanced_accuracy,9,-0.38817364300963964,1.0351297146923724,0.473015873015873,0.03457242821201623,0.013067149609804055,7,93.14285714285714,44,169
g1pre,A/RL/AL,congruency,time_resolved_trial_response,signal,balanced_accuracy,10,-0.32347803584136636,1.0351297146923724,0.5015873015873016,0.026636612252441034,0.010067693112745,7,93.14285714285714,44,169
g1pre,A/RL/AL,congruency,time_resolved_trial_response,signal,balanced_accuracy,11,-0.2587824286730931,1.0351297146923724,0.5039682539682541,0.024472686907406817,0.009249806210077833,7,93.14285714285714,44,169
g1pre,A/RL/AL,congruency,time_resolved_trial_response,signal,balanced_accuracy,12,-0.19408682150481982,1.0351297146923724,0.49801587301587297,0.020707290675634548,0.007826620207665096,7,93.14285714285714,44,169
g1pre,A/RL/AL,congruency,time_resolved_trial_response,signal,balanced_accuracy,13,-0.12939121433654655,1.0351297146923724,0.5051587301587303,0.0364806085894551,0.013788374000569285,7,93.14285714285714,44,169
g1pre,A/RL/AL,congruency,time_resolved_trial_response,signal,balanced_accuracy,14,-0.06469560716827327,1.0351297146923724,0.4992063492063492,0.038813229500320644,0.014670021833874882,7,93.14285714285714,44,169
g1pre,A/RL/AL,congruency,time_resolved_trial_response,signal,balanced_accuracy,15,0.0,1.0351297146923724,0.5003968253968255,0.0336569388918142,0.012721127171348321,7,93.14285714285714,44,169
g1pre,A/RL/AL,congruency,time_resolved_trial_response,signal,balanced_accuracy,16,0.06469560716827327,1.0351297146923724,0.4821428571428571,0.031174585663633684,0.011782885841636314,7,93.14285714285714,44,169
g1pre,A/RL/AL,congruency,time_resolved_trial_response,signal,balanced_accuracy,17,0.12939121433654655,1.0351297146923724,0.4988095238095238,0.02261556642662706,0.00854788064624527,7,93.14285714285714,44,169
g1pre,A/RL/AL,congruency,time_resolved_trial_response,signal,balanced_accuracy,18,0.19408682150481982,1.0351297146923724,0.5174603174603175,0.031781560806383134,0.01201230088159531,7,93.14285714285714,44,169
g1pre,A/RL/AL,congruency,time_resolved_trial_response,signal,balanced_accuracy,19,0.2587824286730931,1.0351297146923724,0.5011904761904762,0.03553157259933112,0.013429672112695286,7,93.14285714285714,44,169
g1pre,A/RL/AL,congruency,time_resolved_trial_response,signal,balanced_accuracy,20,0.32347803584136636,1.0351297146923724,0.4888888888888889,0.03618226607885178,0.013675611130772852,7,93.14285714285714,44,169
g1pre,A/RL/AL,congruency,time_resolved_trial_response,signal,balanced_accuracy,21,0.38817364300963964,1.0351297146923724,0.4884920634920635,0.03276634183070321,0.012384513122481938,7,93.14285714285714,44,169
g1pre,A/RL/AL,congruency,time_resolved_trial_response,signal,balanced_accuracy,22,0.4528692501779129,1.0351297146923724,0.5055555555555555,0.0428534683903931,0.016197088596792503,7,93.14285714285714,44,169
g1pre,A/RL/AL,congruency,time_resolved_trial_response,signal,balanced_accuracy,23,0.5175648573461862,1.0351297146923724,0.5055555555555556,0.012830005981991684,0.00484928644968872,7,93.14285714285714,44,169
g1pre,A/RL/AL,congruency,time_resolved_trial_response,signal,balanced_accuracy,24,0.5822604645144595,1.0351297146923724,0.4988095238095238,0.02192258304275105,0.008285957546754421,7,93.14285714285714,44,169
g1pre,A/RL/AL,congruency,time_resolved_trial_response,signal,balanced_accuracy,25,0.6469560716827327,1.0351297146923724,0.5071428571428572,0.036671476356025204,0.013860515235375402,7,93.14285714285714,44,169
g1pre,A/RL/AL,congruency,time_resolved_trial_response,signal,balanced_accuracy,26,0.711651678851006,1.0351297146923724,0.5115079365079366,0.04177235273793887,0.015788465288950615,7,93.14285714285714,44,169
g1pre,A/RL/AL,congruency,time_resolved_trial_response,signal,balanced_accuracy,27,0.7763472860192793,1.0351297146923724,0.4992063492063492,0.04269455245035275,0.01613702401726239,7,93.14285714285714,44,169
g1pre,A/RL/AL,congruency,time_resolved_trial_response,signal,balanced_accuracy,28,0.8410428931875525,1.0351297146923724,0.49880952380952387,0.01889822365046143,0.007142857142857169,7,93.14285714285714,44,169
g1pre,A/RL/AL,congruency,time_resolved_trial_response,signal,balanced_accuracy,29,0.9057385003558258,1.0351297146923724,0.5031746031746032,0.028256457592019855,0.010679937102875361,7,93.14285714285714,44,169
g1pre,A/RL/AL,congruency,time_resolved_trial_response,signal,balanced_accuracy,30,0.9704341075240991,1.0351297146923724,0.49642857142857144,0.01107799297153972,0.004187087775487933,7,93.14285714285714,44,169
g1pre,A/RL/AL,congruency,time_resolved_trial_response,signal,balanced_accuracy,31,1.0351297146923724,1.0351297146923724,0.4900793650793651,0.03317311583714293,0.012538259245459775,7,93.14285714285714,44,169
g1pre,A/RL/AL,congruency,time_resolved_trial_response,signal,balanced_accuracy,32,1.0998253218606455,1.0351297146923724,0.4746031746031746,0.05229871691266767,0.019767056976955195,7,93.14285714285714,44,169
g1pre,A/RL/AL,congruency,time_resolved_trial_response,signal,balanced_accuracy,33,1.164520929028919,1.0351297146923724,0.4952380952380952,0.042361924270103206,0.01601130238240635,7,93.14285714285714,44,169
g1pre,A/RL/AL,congruency,time_resolved_trial_response,signal,balanced_accuracy,34,1.229216536197192,1.0351297146923724,0.49484126984126986,0.040522201258403716,0.015315952443806404,7,93.14285714285714,44,169
g1pre,A/RL/AL,congruency,time_resolved_trial_response,signal,balanced_accuracy,35,1.2939121433654655,1.0351297146923724,0.5035714285714287,0.03497920773180798,0.01322089781663309,7,93.14285714285714,44,169
g1pre,A/RL/AL,congruency,time_resolved_trial_response,signal,balanced_accuracy,36,1.3586077505337386,1.0351297146923724,0.5051587301587303,0.05449045135300068,0.020595454729671833,7,93.14285714285714,44,169
g1pre,A/RL/AL,congruency,time_resolved_trial_response,signal,balanced_accuracy,37,1.423303357702012,1.0351297146923724,0.49960317460317466,0.03249044539153254,0.012280234070245673,7,93.14285714285714,44,169
g1pre,A/RL/AL,congruency,time_resolved_trial_response,signal,balanced_accuracy,38,1.4879989648702852,1.0351297146923724,0.5011904761904763,0.0323885054475565,0.012241704393042178,7,93.14285714285714,44,169
g1pre,A/RL/AL,congruency,time_resolved_trial_response,signal,balanced_accuracy,39,1.5526945720385585,1.0351297146923724,0.5023809523809524,0.045796241203911306,0.017309352172439795,7,93.14285714285714,44,169
g1pre,A/RL/AL,congruency,time_resolved_trial_response,signal,balanced_accuracy,40,1.6173901792068317,1.0351297146923724,0.5182539682539683,0.02514654287292248,0.009504499824968085,7,93.14285714285714,44,169
g1pre,A/RL/AL,congruency,time_resolved_trial_response,signal,balanced_accuracy,41,1.682085786375105,1.0351297146923724,0.505952380952381,0.03707504663371873,0.014013050462706024,7,93.14285714285714,44,169
g1pre,A/RL/AL,congruency,time_resolved_trial_response,signal,balanced_accuracy,42,1.7467813935433782,1.0351297146923724,0.4884920634920635,0.05187900838369939,0.019608422063986223,7,93.14285714285714,44,169
g1pre,A/RL/AL,congruency,time_resolved_trial_response,signal,balanced_accuracy,43,1.8114770007116516,1.0351297146923724,0.5067460317460317,0.04388704704460216,0.016587744608144217,7,93.14285714285714,44,169
g1pre,A/RL/AL,congruency,time_resolved_trial_response,signal,balanced_accuracy,44,1.8761726078799248,1.0351297146923724,0.49722222222222223,0.037405573845785495,0.014137978006230048,7,93.14285714285714,44,169
g1pre,A/RL/AL,congruency,time_resolved_trial_response,signal,balanced_accuracy,45,1.9408682150481982,1.0351297146923724,0.5150793650793651,0.052676734241920146,0.019909934097594464,7,93.14285714285714,44,169
g1pre,A/RL/AL,congruency,time_resolved_trial_response,signal,balanced_accuracy,46,2.0055638222164713,1.0351297146923724,0.4920634920634921,0.033885419199601835,0.012807484610474257,7,93.14285714285714,44,169
g1pre,A/RL/AL,modality,time_resolved_trial_response,signal,balanced_accuracy,0,-0.9704341075240991,1.0351297146923724,0.33425925925925926,0.01386829749300062,0.005241723753477166,7,93.14285714285714,44,169
g1pre,A/RL/AL,modality,time_resolved_trial_response,signal,balanced_accuracy,1,-0.9057385003558258,1.0351297146923724,0.3298941798941799,0.02498121313834616,0.00944201105896619,7,93.14285714285714,44,169
g1pre,A/RL/AL,modality,time_resolved_trial_response,signal,balanced_accuracy,2,-0.8410428931875525,1.0351297146923724,0.33650793650793653,0.01099290443897524,0.004154927333118071,7,93.14285714285714,44,169
g1pre,A/RL/AL,modality,time_resolved_trial_response,signal,balanced_accuracy,3,-0.7763472860192793,1.0351297146923724,0.33690476190476193,0.010149046034507017,0.003835978835978832,7,93.14285714285714,44,169
g1pre,A/RL/AL,modality,time_resolved_trial_response,signal,balanced_accuracy,4,-0.711651678851006,1.0351297146923724,0.330952380952381,0.020847780606934988,0.00787972041051217,7,93.14285714285714,44,169
g1pre,A/RL/AL,modality,time_resolved_trial_response,signal,balanced_accuracy,5,-0.6469560716827327,1.0351297146923724,0.33875661375661376,0.014388429805709363,0.005438315288945198,7,93.14285714285714,44,169
g1pre,A/RL/AL,modality,time_resolved_trial_response,signal,balanced_accuracy,6,-0.5822604645144595,1.0351297146923724,0.3367724867724868,0.01842347745468502,0.006963419947157403,7,93.14285714285714,44,169
g1pre,A/RL/AL,modality,time_resolved_trial_response,signal,balanced_accuracy,7,-0.5175648573461862,1.0351297146923724,0.326984126984127,0.013496817642876933,0.0051013175676916205,7,93.14285714285714,44,169
g1pre,A/RL/AL,modality,time_resolved_trial_response,signal,balanced_accuracy,8,-0.4528692501779129,1.0351297146923724,0.34338624338624335,0.013044590564707236,0.004930391798410708,7,93.14285714285714,44,169
g1pre,A/RL/AL,modality,time_resolved_trial_response,signal,balanced_accuracy,9,-0.38817364300963964,1.0351297146923724,0.3246031746031746,0.007872315352574875,0.0029754555235984113,7,93.14285714285714,44,169
g1pre,A/RL/AL,modality,time_resolved_trial_response,signal,balanced_accuracy,10,-0.32347803584136636,1.0351297146923724,0.33425925925925926,0.021695137988629598,0.008199991396734852,7,93.14285714285714,44,169
g1pre,A/RL/AL,modality,time_resolved_trial_response,signal,balanced_accuracy,11,-0.2587824286730931,1.0351297146923724,0.33584656084656084,0.020043065528969124,0.007575566700146223,7,93.14285714285714,44,169
g1pre,A/RL/AL,modality,time_resolved_trial_response,signal,balanced_accuracy,12,-0.19408682150481982,1.0351297146923724,0.34113756613756613,0.009318592962413245,0.0035220970782260156,7,93.14285714285714,44,169
g1pre,A/RL/AL,modality,time_resolved_trial_response,signal,balanced_accuracy,13,-0.12939121433654655,1.0351297146923724,0.3314814814814815,0.01526140162355075,0.005768267622027525,7,93.14285714285714,44,169
g1pre,A/RL/AL,modality,time_resolved_trial_response,signal,balanced_accuracy,14,-0.06469560716827327,1.0351297146923724,0.32645502645502644,0.017246905374200035,0.006518717500799525,7,93.14285714285714,44,169
g1pre,A/RL/AL,modality,time_resolved_trial_response,signal,balanced_accuracy,15,0.0,1.0351297146923724,0.3404761904761905,0.014975157428090052,0.005660077485538271,7,93.14285714285714,44,169
g1pre,A/RL/AL,modality,time_resolved_trial_response,signal,balanced_accuracy,16,0.06469560716827327,1.0351297146923724,0.33280423280423277,0.009241605746043352,0.0034929986455623217,7,93.14285714285714,44,169
g1pre,A/RL/AL,modality,time_resolved_trial_response,signal,balanced_accuracy,17,0.12939121433654655,1.0351297146923724,0.3326719576719577,0.0124652498877949,0.0047114216047687285,7,93.14285714285714,44,169
g1pre,A/RL/AL,modality,time_resolved_trial_response,signal,balanced_accuracy,18,0.19408682150481982,1.0351297146923724,0.3625661375661376,0.050709013755285234,0.01916620566083404,7,93.14285714285714,44,169
g1pre,A/RL/AL,modality,time_resolved_trial_response,signal,balanced_accuracy,19,0.2587824286730931,1.0351297146923724,0.4894179894179894,0.11813675148076426,0.044651495016449105,7,93.14285714285714,44,169
g1pre,A/RL/AL,modality,time_resolved_trial_response,signal,balanced_accuracy,20,0.32347803584136636,1.0351297146923724,0.5142857142857143,0.14191241609823135,0.05363785156403418,7,93.14285714285714,44,169
g1pre,A/RL/AL,modality,time_resolved_trial_response,signal,balanced_accuracy,21,0.38817364300963964,1.0351297146923724,0.5346560846560846,0.15009509364072698,0.05673061296918799,7,93.14285714285714,44,169
g1pre,A/RL/AL,modality,time_resolved_trial_response,signal,balanced_accuracy,22,0.4528692501779129,1.0351297146923724,0.5666666666666667,0.16972755139033918,0.06415098451639607,7,93.14285714285714,44,169
g1pre,A/RL/AL,modality,time_resolved_trial_response,signal,balanced_accuracy,23,0.5175648573461862,1.0351297146923724,0.5957671957671957,0.1709847493370278,0.06462616067578453,7,93.14285714285714,44,169
g1pre,A/RL/AL,modality,time_resolved_trial_response,signal,balanced_accuracy,24,0.5822604645144595,1.0351297146923724,0.5883597883597884,0.1819146829103796,0.0687572872588623,7,93.14285714285714,44,169
g1pre,A/RL/AL,modality,time_resolved_trial_response,signal,balanced_accuracy,25,0.6469560716827327,1.0351297146923724,0.5951058201058201,0.18227161258354238,0.06889219399468062,7,93.14285714285714,44,169
g1pre,A/RL/AL,modality,time_resolved_trial_response,signal,balanced_accuracy,26,0.711651678851006,1.0351297146923724,0.607010582010582,0.1783586327634475,0.06741322663908272,7,93.14285714285714,44,169
g1pre,A/RL/AL,modality,time_resolved_trial_response,signal,balanced_accuracy,27,0.7763472860192793,1.0351297146923724,0.5988095238095238,0.19026873929879715,0.0719148237791999,7,93.14285714285714,44,169
g1pre,A/RL/AL,modality,time_resolved_trial_response,signal,balanced_accuracy,28,0.8410428931875525,1.0351297146923724,0.6115079365079366,0.20339613223752354,0.07687651193327068,7,93.14285714285714,44,169
g1pre,A/RL/AL,modality,time_resolved_trial_response,signal,balanced_accuracy,29,0.9057385003558258,1.0351297146923724,0.6153439153439154,0.20331321800509086,0.0768451732991043,7,93.14285714285714,44,169
g1pre,A/RL/AL,modality,time_resolved_trial_response,signal,balanced_accuracy,30,0.9704341075240991,1.0351297146923724,0.6145502645502646,0.21027946591466093,0.07947816751909657,7,93.14285714285714,44,169
g1pre,A/RL/AL,modality,time_resolved_trial_response,signal,balanced_accuracy,31,1.0351297146923724,1.0351297146923724,0.6305555555555555,0.2046442930895008,0.077348272391919,7,93.14285714285714,44,169
g1pre,A/RL/AL,modality,time_resolved_trial_response,signal,balanced_accuracy,32,1.0998253218606455,1.0351297146923724,0.6149470899470899,0.20830893449131863,0.07873337664812488,7,93.14285714285714,44,169
g1pre,A/RL/AL,modality,time_resolved_trial_response,signal,balanced_accuracy,33,1.164520929028919,1.0351297146923724,0.627910052910053,0.20550718801115866,0.07767441601624576,7,93.14285714285714,44,169
g1pre,A/RL/AL,modality,time_resolved_trial_response,signal,balanced_accuracy,34,1.229216536197192,1.0351297146923724,0.6406084656084656,0.19608175191134267,0.07411193602789666,7,93.14285714285714,44,169
g1pre,A/RL/AL,modality,time_resolved_trial_response,signal,balanced_accuracy,35,1.2939121433654655,1.0351297146923724,0.6314814814814814,0.19059460421272909,0.07203798913966639,7,93.14285714285714,44,169
g1pre,A/RL/AL,modality,time_resolved_trial_response,signal,balanced_accuracy,36,1.3586077505337386,1.0351297146923724,0.6236772486772486,0.1984355659955707,0.0750015941278036,7,93.14285714285714,44,169
g1pre,A/RL/AL,modality,time_resolved_trial_response,signal,balanced_accuracy,37,1.423303357702012,1.0351297146923724,0.5988095238095238,0.19841601996043984,0.07499420642093596,7,93.14285714285714,44,169
g1pre,A/RL/AL,modality,time_resolved_trial_response,signal,balanced_accuracy,38,1.4879989648702852,1.0351297146923724,0.6080687830687831,0.1880250720575713,0.07106679727276191,7,93.14285714285714,44,169
g1pre,A/RL/AL,modality,time_resolved_trial_response,signal,balanced_accuracy,39,1.5526945720385585,1.0351297146923724,0.6078042328042328,0.20119233145443258,0.07604355353167237,7,93.14285714285714,44,169
g1pre,A/RL/AL,modality,time_resolved_trial_response,signal,balanced_accuracy,40,1.6173901792068317,1.0351297146923724,0.6033068783068783,0.17926880613579776,0.06775723983811013,7,93.14285714285714,44,169
g1pre,A/RL/AL,modality,time_resolved_trial_response,signal,balanced_accuracy,41,1.682085786375105,1.0351297146923724,0.591005291005291,0.17653056774458784,0.06672228300760283,7,93.14285714285714,44,169
